YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2020,1,1,4.0675,15.42,26.68,2.85,0.0,63.5
2020,1,2,3.8702,18.55,29.67,3.73,0.0,76.46
2020,1,3,3.6298,22.08,26.98,5.53,0.21,90.39
2020,1,4,1.2134,20.27,52.9,7.09,15.16,88.33
2020,1,5,4.5425,12.53,5.69,5.11,0.0,62.54
2020,1,6,4.4806,12.9,8.49,2.08,0.0,60.51
2020,1,7,4.1935,15.45,14.9,2.67,0.0,74.39
2020,1,8,4.4522,13.7,21.02,5.0,0.0,65.76
2020,1,9,3.8662,16.67,26.36,6.54,0.0,76.13
2020,1,10,3.7056,20.58,39.74,6.39,0.0,80.55
2020,1,11,3.7114,21.85,29.64,5.4,0.02,86.64
2020,1,12,3.6768,21.96,43.77,3.31,0.05,85.43
2020,1,13,4.1947,22.1,19.68,3.52,0.05,81.1
2020,1,14,3.4558,21.65,34.78,2.53,0.38,86.04
2020,1,15,4.1923,22.07,18.29,1.74,0.09,83.04
2020,1,16,4.0087,20.6,44.82,2.97,0.01,85.33
2020,1,17,3.7334,20.44,46.07,7.01,0.0,74.9
2020,1,18,4.218,19.79,22.24,4.57,0.0,72.66
2020,1,19,2.4775,19.83,84.6,5.29,0.55,84.62
2020,1,20,4.7196,12.18,30.74,6.39,0.0,59.33
2020,1,21,4.627,8.25,17.75,7.59,0.0,64.3
2020,1,22,4.1508,7.96,37.73,6.7,0.03,73.92
2020,1,23,3.5678,14.84,76.15,4.69,0.24,89.31
2020,1,24,3.1378,17.85,83.28,3.53,0.22,87.44
2020,1,25,4.8638,14.95,18.34,4.77,0.06,72.5
2020,1,26,4.5103,13.52,58.86,3.2,0.0,65.18
2020,1,27,2.2037,15.85,90.85,2.25,0.63,68.5
2020,1,28,4.7071,14.99,35.04,4.5,0.02,70.35
2020,1,29,3.6883,14.9,42.42,2.78,0.72,75.63
2020,1,30,1.9555,15.98,77.89,4.31,0.93,82.49
2020,1,31,1.9274,16.64,97.21,2.35,2.5,87.15
2020,2,1,1.5415,15.94,90.71,4.27,11.71,89.39
2020,2,2,4.8754,12.45,22.12,4.99,0.03,73.46
2020,2,3,5.131,15.62,7.09,1.4,0.0,74.06
2020,2,4,4.3426,16.68,78.31,2.8,0.01,81.25
2020,2,5,3.209,19.86,86.96,4.52,0.05,83.7
2020,2,6,3.6398,22.04,70.42,8.9,9.27,87.04
2020,2,7,4.1474,15.03,82.39,7.14,11.03,68.95
2020,2,8,5.359,13.54,20.92,3.83,0.25,62.38
2020,2,9,5.2375,16.61,10.07,5.51,0.01,75.69
2020,2,10,4.9601,20.5,30.47,3.88,0.0,75.8
2020,2,11,4.4186,21.66,61.13,3.25,0.12,84.89
2020,2,12,4.008,22.2,37.33,3.32,0.19,84.34
2020,2,13,4.6644,22.33,26.11,4.83,0.29,87.99
2020,2,14,3.438,19.84,89.93,4.5,3.0,86.3
2020,2,15,5.2073,18.6,30.09,5.64,0.12,74.09
2020,2,16,4.4052,21.2,43.37,4.0,0.78,83.0
2020,2,17,4.9543,21.64,57.65,2.11,0.29,81.84
2020,2,18,4.5852,22.92,64.96,2.9,0.06,80.09
2020,2,19,3.9701,23.32,60.7,2.38,0.49,78.05
2020,2,20,4.7842,22.84,27.95,4.08,0.41,84.75
2020,2,21,2.5944,14.16,72.88,7.99,1.23,75.92
2020,2,22,5.8399,12.87,3.48,6.13,0.0,70.45
2020,2,23,5.3369,16.93,32.68,3.2,0.0,70.27
2020,2,24,4.8211,19.58,69.35,4.09,0.0,70.44
2020,2,25,4.6142,20.97,58.31,5.38,0.94,83.31
2020,2,26,2.5694,20.3,93.78,5.0,13.69,85.81
2020,2,27,5.4686,12.74,51.04,6.43,0.27,68.03
2020,2,28,6.0103,11.84,24.15,4.63,0.01,66.4
2020,2,29,6.265,14.36,23.22,6.04,0.09,55.59
2020,3,1,6.3454,15.3,26.25,2.65,0.0,57.87
2020,3,2,5.1576,18.21,50.06,4.68,0.0,70.94
2020,3,3,5.1792,20.34,55.87,4.7,0.01,81.51
2020,3,4,5.7598,21.92,23.83,4.12,0.07,82.86
2020,3,5,4.8682,22.7,59.48,6.48,0.32,86.48
2020,3,6,4.8583,18.31,67.12,6.63,0.04,69.47
2020,3,7,6.6487,14.36,24.23,7.0,0.0,49.48
2020,3,8,4.3459,16.23,60.59,6.4,0.0,64.26
2020,3,9,4.9574,19.12,52.96,5.85,0.0,65.49
2020,3,10,5.0844,21.18,66.82,3.07,0.03,69.1
2020,3,11,5.8183,21.53,26.16,1.99,0.05,69.97
2020,3,12,5.9592,21.57,53.18,2.4,0.0,65.36
2020,3,13,5.9798,22.67,46.11,2.03,0.0,62.26
2020,3,14,6.0766,23.32,38.34,2.46,0.0,67.31
2020,3,15,5.9575,23.71,21.89,2.62,0.16,71.57
2020,3,16,5.7542,23.89,29.64,3.49,0.03,71.14
2020,3,17,5.3491,23.78,61.73,2.85,0.0,72.88
2020,3,18,6.4598,24.61,22.28,3.0,0.0,66.0
2020,3,19,6.1939,24.27,17.27,3.04,0.0,69.69
2020,3,20,6.4032,24.33,16.51,3.26,0.0,69.68
2020,3,21,6.1349,24.41,18.86,2.6,0.0,67.55
2020,3,22,6.0271,24.52,21.23,3.12,0.0,69.23
2020,3,23,6.3437,24.53,23.29,2.65,0.0,65.88
2020,3,24,6.485,24.32,14.14,3.34,0.0,73.23
2020,3,25,6.6343,24.71,15.26,5.03,0.01,78.27
2020,3,26,6.4658,25.49,12.11,3.39,0.0,71.6
2020,3,27,6.4853,26.09,17.62,2.59,0.02,66.43
2020,3,28,7.0222,26.04,10.43,2.99,0.04,67.07
2020,3,29,6.9418,25.78,22.49,2.57,0.18,69.9
2020,3,30,6.5294,25.75,53.0,2.82,0.06,71.54
2020,3,31,5.6184,25.51,85.12,6.67,3.02,75.39
2020,4,1,7.3824,20.71,19.22,6.67,0.31,57.66
2020,4,2,7.35,20.06,9.21,3.7,0.02,55.99
2020,4,3,7.1743,21.98,28.73,2.95,0.0,52.29
2020,4,4,6.5556,23.06,40.98,2.94,0.0,54.88
2020,4,5,1.541,20.42,94.35,3.98,4.82,77.03
2020,4,6,5.363,22.82,66.19,3.97,0.37,73.47
2020,4,7,6.9463,24.13,7.18,2.94,0.01,67.13
2020,4,8,6.7555,24.75,7.71,3.87,0.01,73.95
2020,4,9,4.5487,25.53,36.83,5.79,0.0,80.54
2020,4,10,4.681,24.85,67.04,4.9,0.27,71.51
2020,4,11,4.9716,24.54,72.25,3.03,0.0,56.98
2020,4,12,6.2198,27.79,50.17,6.26,0.15,67.49
2020,4,13,6.4176,26.86,26.89,6.13,0.86,78.26
2020,4,14,5.6695,27.25,73.61,3.81,1.42,77.61
2020,4,15,5.0678,26.22,75.19,5.95,5.53,80.87
2020,4,16,1.8283,20.13,92.18,6.68,3.05,77.06
2020,4,17,4.59,24.04,71.38,3.19,1.66,72.29
2020,4,18,3.1126,24.44,72.24,2.84,11.46,84.38
2020,4,19,6.155,26.08,80.6,3.66,2.05,75.66
2020,4,20,3.1654,25.23,90.03,7.1,11.24,81.42
2020,4,21,7.5031,23.71,76.54,4.14,0.04,66.65
2020,4,22,7.349,25.06,82.44,3.73,0.01,52.43
2020,4,23,6.7776,25.93,71.59,7.05,1.81,69.51
2020,4,24,0.4279,24.52,99.44,5.33,38.34,92.17
2020,4,25,4.3661,25.02,73.91,3.68,2.93,85.56
2020,4,26,4.5593,24.23,80.86,4.32,0.82,78.44
2020,4,27,8.0981,21.39,7.47,5.16,0.0,54.28
2020,4,28,7.9514,22.85,34.44,3.93,0.01,60.86
2020,4,29,7.176,24.05,55.81,4.85,6.47,70.99
2020,4,30,6.2666,22.2,53.88,5.23,24.94,78.75
2020,5,1,8.1204,21.16,5.81,4.27,0.01,59.61
2020,5,2,8.1295,23.0,2.33,2.95,0.14,57.36
2020,5,3,8.0472,23.58,3.02,2.57,0.0,66.93
2020,5,4,7.9346,24.49,4.84,2.48,0.0,65.66
2020,5,5,7.9646,24.48,7.09,3.07,0.0,70.22
2020,5,6,6.9377,24.65,38.55,5.19,0.27,70.88
2020,5,7,8.1895,21.37,27.7,6.31,0.0,51.02
2020,5,8,8.1034,21.35,10.16,4.42,0.0,62.29
2020,5,9,7.3949,24.7,53.17,4.15,0.04,67.99
2020,5,10,3.2741,22.68,96.5,3.87,3.97,76.13
2020,5,11,8.083,24.06,10.55,4.33,0.11,64.24
2020,5,12,8.1499,24.6,25.98,4.56,0.01,54.94
2020,5,13,7.9327,25.07,23.52,6.25,0.02,62.76
2020,5,14,7.3253,25.38,45.54,6.88,0.0,61.72
2020,5,15,5.6561,25.73,56.65,5.83,2.55,70.98
2020,5,16,6.5496,26.9,43.56,4.45,0.47,71.79
2020,5,17,7.595,26.79,32.99,2.88,0.71,70.11
2020,5,18,2.3748,25.05,91.15,3.52,7.32,77.81
2020,5,19,7.8588,25.41,18.75,4.86,2.35,73.65
2020,5,20,7.9541,26.04,18.72,3.89,0.02,64.96
2020,5,21,7.6934,27.3,29.59,2.41,4.17,68.74
2020,5,22,7.5122,27.74,32.89,2.05,3.98,66.12
2020,5,23,6.6096,26.57,83.14,2.91,4.47,74.12
2020,5,24,3.2359,26.47,99.67,4.7,2.18,74.29
2020,5,25,4.2161,24.56,89.92,7.36,13.4,86.87
2020,5,26,6.8546,26.11,46.78,3.34,3.87,82.59
2020,5,27,7.0462,27.28,40.75,2.82,5.39,79.06
2020,5,28,6.2429,26.5,82.23,2.61,20.59,83.86
2020,5,29,6.551,27.04,76.62,2.65,6.49,78.26
2020,5,30,7.0279,27.42,71.34,1.99,4.29,75.28
2020,5,31,7.0186,28.24,76.37,2.3,0.85,66.63
2020,6,1,5.9964,28.56,97.04,4.2,1.67,72.08
2020,6,2,6.0386,26.73,95.16,5.41,3.39,79.44
2020,6,3,2.832,25.47,99.69,2.67,11.04,81.88
2020,6,4,2.3609,24.58,99.67,3.03,32.88,90.26
2020,6,5,3.1834,25.59,99.93,2.81,13.16,84.39
2020,6,6,1.9325,25.75,99.89,4.87,51.68,92.18
2020,6,7,4.475,26.75,98.95,5.93,7.98,88.84
2020,6,8,6.4831,27.66,90.99,4.39,5.99,83.86
2020,6,9,6.1435,27.93,75.58,1.49,1.44,77.94
2020,6,10,6.6924,28.22,63.08,1.94,5.26,79.89
2020,6,11,7.1664,27.75,57.46,2.16,4.79,79.08
2020,6,12,7.7026,26.87,37.43,2.86,11.16,76.67
2020,6,13,4.5305,25.98,82.99,3.17,6.71,81.26
2020,6,14,7.3344,25.87,71.8,3.05,4.28,82.18
2020,6,15,8.1317,26.36,28.09,4.28,1.84,75.42
2020,6,16,7.8605,25.7,20.6,2.47,0.57,75.04
2020,6,17,7.7184,26.48,14.35,2.3,0.49,72.66
2020,6,18,7.1114,26.98,33.99,1.72,1.78,74.59
2020,6,19,6.4594,27.1,64.17,2.44,9.87,82.96
2020,6,20,7.7206,27.62,8.22,2.28,0.21,72.95
2020,6,21,7.7738,27.69,11.71,2.22,0.17,67.74
2020,6,22,7.2936,28.17,43.3,2.28,3.0,68.35
2020,6,23,7.6507,28.3,49.65,2.5,1.28,71.64
2020,6,24,7.589,28.8,58.03,2.62,0.71,71.21
2020,6,25,6.8244,29.36,79.23,1.86,1.5,69.25
2020,6,26,6.912,29.6,78.39,1.97,1.98,69.24
2020,6,27,7.1306,29.74,65.73,1.98,0.48,66.35
2020,6,28,5.916,29.29,98.18,1.57,0.31,67.54
2020,6,29,6.4824,29.42,66.21,2.5,1.63,69.96
2020,6,30,7.0416,29.22,59.16,3.23,1.58,72.18
2020,7,1,6.8582,28.88,78.29,3.4,2.14,71.09
2020,7,2,6.8455,29.04,64.12,3.89,2.85,71.4
2020,7,3,7.0018,28.98,73.96,4.54,2.52,71.46
2020,7,4,6.5304,28.85,91.37,3.37,6.22,72.49
2020,7,5,6.5539,28.39,86.93,3.43,11.67,75.95
2020,7,6,6.4596,28.19,72.37,3.57,9.3,79.93
2020,7,7,6.4361,28.39,64.45,3.46,4.86,78.48
2020,7,8,6.396,28.66,81.27,4.54,2.48,76.56
2020,7,9,7.2516,29.07,44.7,4.72,2.1,76.42
2020,7,10,6.7051,29.23,71.06,5.42,3.88,76.78
2020,7,11,5.923,29.13,89.67,4.6,3.29,78.3
2020,7,12,7.1945,29.44,67.35,3.49,1.48,75.3
2020,7,13,7.0258,29.68,58.69,3.99,0.82,71.5
2020,7,14,6.8738,29.28,57.33,2.68,4.82,76.05
2020,7,15,6.4694,29.22,62.1,1.63,11.71,69.61
2020,7,16,6.5551,28.77,76.91,2.26,5.02,72.41
2020,7,17,5.6002,28.68,61.88,3.66,5.25,75.3
2020,7,18,5.8514,28.35,85.21,4.06,6.15,79.2
2020,7,19,6.012,28.97,54.82,3.74,5.64,75.43
2020,7,20,6.9067,28.71,33.3,3.61,2.41,75.52
2020,7,21,6.1951,28.37,63.61,4.63,1.6,75.38
2020,7,22,4.5497,26.85,97.7,4.75,10.76,86.16
2020,7,23,3.557,26.33,92.02,4.12,15.11,87.99
2020,7,24,7.0092,28.14,55.56,4.38,5.41,78.37
2020,7,25,5.6414,27.9,95.01,3.85,6.77,79.32
2020,7,26,6.7555,28.0,57.66,3.08,8.87,79.39
2020,7,27,6.6811,27.91,71.17,2.37,15.73,79.22
2020,7,28,5.099,27.59,95.91,1.38,9.98,78.13
2020,7,29,6.1913,28.14,86.82,1.56,5.84,75.56
2020,7,30,6.9226,28.51,73.2,1.89,1.54,75.06
2020,7,31,7.2187,29.41,47.13,1.44,1.83,70.35
2020,8,1,6.9134,29.66,43.5,3.21,0.71,67.95
2020,8,2,6.0907,28.02,56.0,5.57,3.76,80.06
2020,8,3,6.8582,29.02,82.83,3.65,0.6,73.9
2020,8,4,6.6324,29.67,54.02,2.02,6.08,72.0
2020,8,5,5.8574,29.05,62.85,1.47,5.78,72.13
2020,8,6,5.5454,28.18,75.48,1.76,6.36,79.84
2020,8,7,6.6473,29.06,54.51,1.7,4.58,72.95
2020,8,8,7.013,29.38,56.45,1.5,4.92,70.54
2020,8,9,6.7678,29.11,66.59,1.23,9.14,72.81
2020,8,10,6.9235,29.09,57.59,1.6,6.94,73.71
2020,8,11,5.4334,29.06,76.46,0.97,8.57,71.2
2020,8,12,5.9002,29.01,80.73,0.91,4.88,68.81
2020,8,13,5.9666,28.9,83.55,1.06,4.72,71.68
2020,8,14,6.8004,29.12,61.3,1.32,2.86,71.58
2020,8,15,5.779,29.22,77.65,2.13,3.89,71.71
2020,8,16,4.4021,28.83,86.68,2.74,4.91,77.38
2020,8,17,4.5286,28.45,86.35,2.06,6.08,79.96
2020,8,18,5.0448,28.05,70.99,1.85,6.08,77.56
2020,8,19,2.5999,27.28,82.18,2.36,6.98,80.69
2020,8,20,5.9438,27.25,73.05,2.33,21.13,82.44
2020,8,21,4.4167,26.65,98.27,2.93,17.61,84.33
2020,8,22,2.7914,27.02,99.46,2.86,11.13,85.15
2020,8,23,5.2982,27.7,90.45,4.45,15.02,88.43
2020,8,24,5.2147,28.49,62.2,5.38,7.02,86.66
2020,8,25,6.7212,28.92,55.61,5.32,1.22,83.08
2020,8,26,6.2405,28.63,70.57,4.48,2.78,84.51
2020,8,27,6.6005,28.59,67.28,3.16,5.29,83.37
2020,8,28,5.6597,28.69,93.15,2.66,3.04,80.42
2020,8,29,5.3342,28.55,94.09,3.29,11.81,80.57
2020,8,30,3.2474,27.39,98.54,3.43,23.18,85.47
2020,8,31,3.8491,27.5,91.69,3.41,21.92,84.94
2020,9,1,6.2719,27.98,51.26,2.47,2.89,80.47
2020,9,2,6.5388,28.65,53.89,1.71,4.53,78.17
2020,9,3,6.4447,29.1,48.91,1.52,1.99,76.66
2020,9,4,6.383,29.38,50.68,1.78,1.16,76.39
2020,9,5,5.7684,29.01,54.93,1.92,3.07,77.25
2020,9,6,6.0478,28.3,63.7,2.1,4.21,76.2
2020,9,7,5.6393,26.63,67.52,2.96,10.71,86.13
2020,9,8,5.843,26.98,67.36,2.98,22.99,84.62
2020,9,9,3.7745,26.97,98.64,2.8,6.55,86.11
2020,9,10,4.7611,26.97,91.08,3.09,14.06,88.5
2020,9,11,5.3376,27.56,82.26,3.84,6.3,88.8
2020,9,12,3.9878,26.89,92.27,7.8,13.29,89.77
2020,9,13,1.044,25.58,98.65,9.43,10.34,89.9
2020,9,14,1.986,26.32,99.48,4.51,14.26,90.14
2020,9,15,2.8752,26.47,99.89,3.14,9.37,89.83
2020,9,16,5.4089,27.01,86.81,4.34,4.12,90.78
2020,9,17,4.698,27.41,88.51,5.19,9.89,89.78
2020,9,18,4.9246,27.28,60.28,3.82,3.26,84.65
2020,9,19,5.8306,26.48,52.4,3.97,0.86,84.38
2020,9,20,3.6821,26.02,95.39,8.35,4.47,89.99
2020,9,21,5.441,25.41,72.67,8.08,0.12,80.52
2020,9,22,5.4041,24.56,64.73,5.97,0.0,79.47
2020,9,23,6.0557,24.3,56.27,4.45,0.0,78.84
2020,9,24,5.7118,26.41,67.95,3.27,0.1,78.3
2020,9,25,5.4708,27.11,39.93,1.99,1.65,85.11
2020,9,26,5.4077,27.69,33.49,1.51,2.06,80.2
2020,9,27,5.0731,27.4,72.08,1.16,8.83,80.61
2020,9,28,4.7429,26.4,80.31,2.41,12.14,86.35
2020,9,29,4.4102,26.12,69.89,3.67,12.6,87.02
2020,9,30,4.4028,21.09,88.34,5.37,0.6,73.83
2020,10,1,4.4095,22.65,81.62,3.56,0.04,74.34
2020,10,2,3.9252,22.89,93.5,3.66,0.01,75.1
