YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2020,1,1,1.1868,-3.05,81.55,2.85,0.07,99.65
2020,1,2,1.8468,-3.2,66.86,1.97,0.0,99.81
2020,1,3,0.6331,0.08,99.58,1.73,0.04,99.64
2020,1,4,0.4529,0.19,99.54,1.52,5.62,99.64
2020,1,5,1.6094,-4.88,68.65,3.66,1.02,95.75
2020,1,6,1.2595,-5.92,65.57,1.7,0.57,93.81
2020,1,7,1.5785,-2.82,81.19,2.12,0.18,91.21
2020,1,8,1.35,-3.75,86.13,3.03,0.56,94.62
2020,1,9,2.4194,-10.32,31.78,2.92,0.01,86.89
2020,1,10,0.5834,-1.87,97.55,2.55,0.04,96.71
2020,1,11,1.315,6.84,91.07,3.49,0.14,98.78
2020,1,12,1.4402,7.59,77.75,4.78,3.84,83.78
2020,1,13,0.4502,-1.57,99.58,1.49,0.1,89.46
2020,1,14,1.2319,0.45,98.87,1.67,0.24,91.57
2020,1,15,1.2694,1.09,92.6,2.13,0.12,91.25
2020,1,16,0.9322,-1.49,92.33,3.87,7.01,87.67
2020,1,17,2.6546,-12.81,19.25,4.9,0.03,68.86
2020,1,18,1.1724,-11.51,99.19,1.93,10.74,76.0
2020,1,19,1.6042,-4.82,75.21,3.17,0.68,93.47
2020,1,20,2.6201,-11.89,27.19,3.4,0.19,87.79
2020,1,21,2.1828,-12.97,41.32,2.21,0.0,91.66
2020,1,22,2.5548,-8.47,34.11,1.98,0.0,94.49
2020,1,23,1.9769,-4.75,76.98,1.86,0.0,90.1
2020,1,24,1.8838,-1.02,94.88,1.94,0.01,91.47
2020,1,25,0.5434,1.34,99.01,3.28,19.85,98.87
2020,1,26,1.987,0.69,72.99,2.72,0.14,92.65
2020,1,27,1.5509,-0.1,94.25,2.37,0.09,91.51
2020,1,28,1.061,-1.92,92.73,2.69,0.01,84.6
2020,1,29,3.035,-5.15,17.1,3.11,0.0,71.42
2020,1,30,2.9856,-7.17,41.43,1.3,0.0,70.63
2020,1,31,2.6398,-3.77,73.27,1.71,0.02,82.21
2020,2,1,1.3692,-2.11,98.24,1.18,0.03,93.96
2020,2,2,1.5031,-2.46,94.74,1.67,0.01,88.56
2020,2,3,1.9639,-1.46,66.16,2.36,0.0,90.28
2020,2,4,1.2852,0.61,88.27,1.68,0.02,91.77
2020,2,5,2.7427,-1.67,83.84,2.35,0.23,74.31
