YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2023,1,1,1.7846,-1.83,88.53,2.21,0.27,71.47
2023,1,2,1.8151,-3.4,31.67,1.34,0.06,78.1
2023,1,3,1.7244,-4.7,57.26,4.16,0.0,65.21
2023,1,4,2.0935,-4.36,20.56,6.42,0.03,55.5
2023,1,5,1.4107,-3.41,75.83,2.73,0.17,68.07
2023,1,6,1.619,-0.91,52.56,4.39,0.25,80.35
2023,1,7,2.0364,-0.85,45.48,4.24,0.0,66.82
2023,1,8,1.7038,0.23,92.39,4.78,0.15,62.68
2023,1,9,2.0143,1.03,62.57,3.9,0.39,61.21
2023,1,10,2.119,1.36,57.35,2.87,0.05,64.43
2023,1,11,1.9682,-0.44,82.0,2.15,0.32,69.9
2023,1,12,2.1341,0.07,57.38,5.78,0.03,63.94
2023,1,13,1.4729,4.19,97.93,6.01,0.0,66.9
2023,1,14,1.7472,3.41,78.66,6.2,0.19,61.1
2023,1,15,1.3565,0.91,85.86,2.21,0.45,68.49
2023,1,16,1.6562,-0.38,92.32,2.74,1.77,78.89
2023,1,17,2.0772,-1.89,68.34,3.77,0.01,64.43
2023,1,18,2.3837,-3.12,19.22,4.9,0.04,62.61
2023,1,19,2.0791,-1.89,67.49,6.1,0.34,60.62
2023,1,20,2.2339,-2.8,76.24,4.88,0.25,64.19
2023,1,21,1.6678,-1.83,73.65,7.12,0.05,59.15
2023,1,22,1.5583,-2.98,83.14,6.41,0.59,64.49
2023,1,23,2.491,-2.92,65.35,5.73,0.4,66.38
2023,1,24,1.6642,-2.91,75.3,8.8,0.58,58.04
2023,1,25,1.9039,-2.76,97.96,7.18,0.34,63.36
2023,1,26,1.7083,1.33,94.71,11.24,0.66,65.77
2023,1,27,0.7973,-0.88,99.8,5.2,7.15,81.63
2023,1,28,0.9746,-13.41,99.48,5.18,5.27,81.67
2023,1,29,2.6359,-21.59,49.83,4.61,1.01,71.47
2023,1,30,2.8812,-17.41,30.18,6.31,0.01,58.67
2023,1,31,2.6794,-8.12,59.55,10.12,0.24,66.65
2023,2,1,2.7535,-3.11,71.47,8.69,0.62,68.47
2023,2,2,2.575,-2.5,80.33,5.88,0.14,65.69
2023,2,3,2.3902,2.07,90.41,8.44,0.2,58.74
2023,2,4,2.8109,1.04,58.51,8.27,0.01,59.38
2023,2,5,1.8782,1.08,88.92,4.03,0.28,67.71
2023,2,6,2.8819,1.45,66.17,9.25,0.26,58.77
2023,2,7,2.9945,2.49,77.67,8.44,0.02,55.02
2023,2,8,2.8536,-0.73,72.19,8.69,0.53,58.72
2023,2,9,3.3581,-2.41,39.53,4.62,0.11,54.47
