YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2016,1,1,2.5601,3.16,73.88,3.9,0.01,80.09
2016,1,2,1.7633,4.55,78.41,2.34,0.0,73.83
2016,1,3,3.5479,4.72,0.26,3.78,0.15,81.27
2016,1,4,3.6557,3.15,5.4,3.22,0.0,83.06
2016,1,5,2.9563,1.42,71.65,3.81,0.01,85.59
2016,1,6,0.8395,5.53,85.86,3.87,13.15,88.03
2016,1,7,3.4394,9.62,43.04,4.13,0.95,87.81
2016,1,8,2.075,9.27,75.57,2.8,0.64,87.33
2016,1,9,0.9151,3.33,95.78,7.01,0.38,83.49
2016,1,10,3.5172,-0.85,31.58,3.72,0.0,72.47
2016,1,11,2.8769,2.09,52.74,2.56,0.0,75.61
2016,1,12,3.7085,6.21,0.01,2.89,0.0,77.1
2016,1,13,3.6276,7.89,1.13,4.2,0.0,82.74
2016,1,14,3.545,10.78,13.81,6.66,0.0,89.08
2016,1,15,3.8947,8.56,20.45,4.59,0.0,78.68
2016,1,16,1.1695,3.3,67.3,5.3,0.53,87.1
2016,1,17,3.7474,3.63,13.44,2.59,0.0,81.77
2016,1,18,3.8225,1.06,7.79,2.93,0.0,80.8
2016,1,19,1.8977,6.67,68.37,5.71,0.07,91.39
2016,1,20,2.3014,3.19,71.63,3.02,0.01,83.28
2016,1,21,0.7538,4.79,89.66,6.13,5.42,90.95
2016,1,22,4.0183,1.37,27.43,6.75,0.0,77.95
2016,1,23,3.923,1.17,35.95,2.69,0.0,83.23
2016,1,24,3.5398,7.3,49.83,6.94,0.0,84.54
2016,1,25,4.122,11.26,28.94,5.58,0.0,81.29
2016,1,26,2.2634,4.7,93.25,4.89,0.06,77.14
2016,1,27,4.3994,4.51,1.77,2.56,0.0,67.57
2016,1,28,4.1402,7.61,2.43,3.45,0.0,68.92
2016,1,29,4.2682,11.39,0.25,6.11,0.0,66.41
2016,1,30,4.0973,12.62,0.05,5.96,0.0,78.1
2016,1,31,4.2775,12.94,8.73,5.58,0.0,81.64
2016,2,1,4.0154,13.09,13.66,5.22,0.05,88.01
2016,2,2,4.5295,10.4,20.73,6.06,0.0,63.47
2016,2,3,4.6649,3.54,0.32,5.38,0.0,69.97
2016,2,4,4.4921,3.64,1.29,3.07,0.0,67.19
2016,2,5,4.3322,5.47,54.58,4.67,0.0,70.85
