YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2016,1,1,0.7183,-3.27,98.7,7.96,0.22,79.54
2016,1,2,1.8526,-1.76,60.9,7.33,0.12,83.77
2016,1,3,1.0289,-2.19,81.4,6.73,0.1,75.82
2016,1,4,1.7042,-6.47,59.61,5.22,0.37,76.06
2016,1,5,2.5243,-7.43,10.94,4.15,0.47,81.46
2016,1,6,2.239,-4.05,59.3,4.33,0.64,83.14
2016,1,7,2.0129,-0.74,63.57,3.22,0.09,83.08
2016,1,8,1.0339,0.81,98.09,3.59,4.3,97.23
2016,1,9,1.369,3.13,97.46,4.72,3.68,96.99
2016,1,10,0.8861,-3.2,99.41,10.27,8.38,80.74
2016,1,11,1.6265,-9.29,96.62,7.02,2.06,72.41
2016,1,12,1.4146,-6.88,83.73,9.89,1.93,81.93
2016,1,13,1.4273,-9.57,98.89,7.17,2.08,81.56
2016,1,14,1.2643,-2.84,78.26,3.91,0.8,95.69
2016,1,15,0.9096,1.32,98.33,6.01,4.35,97.17
2016,1,16,1.6426,-2.49,97.9,7.11,1.02,79.55
2016,1,17,1.2514,-9.05,90.8,7.77,0.08,74.68
2016,1,18,2.0352,-10.94,67.01,8.6,0.19,74.65
2016,1,19,2.3345,-10.25,56.29,5.11,0.05,82.02
2016,1,20,1.698,-9.76,66.93,2.43,0.12,86.04
2016,1,21,1.0327,-7.08,89.02,2.28,0.21,90.62
2016,1,22,1.7568,-6.08,76.19,4.47,0.56,84.41
2016,1,23,2.5188,-6.29,67.26,4.5,0.56,87.86
2016,1,24,2.7305,-4.6,50.94,4.4,0.03,89.28
2016,1,25,2.4432,-0.15,86.75,6.23,0.44,86.84
2016,1,26,0.6101,1.11,97.87,9.45,0.43,84.57
2016,1,27,1.4266,-1.89,96.3,6.42,0.11,79.21
2016,1,28,1.2086,-0.95,96.49,8.35,0.28,83.25
2016,1,29,3.211,-5.34,50.71,5.8,0.06,68.46
2016,1,30,2.2997,0.06,79.03,5.73,0.08,90.08
2016,1,31,0.6314,4.32,99.9,6.34,2.71,99.11
2016,2,1,3.0612,0.87,58.63,3.81,0.45,85.14
2016,2,2,1.7047,1.88,68.23,7.7,5.23,86.31
2016,2,3,2.1538,6.01,83.87,9.11,3.13,85.39
2016,2,4,1.4352,-2.13,85.1,4.26,0.41,82.32
2016,2,5,2.7674,-2.05,59.78,3.5,0.23,80.16
2016,2,6,3.0314,-1.06,61.34,4.85,0.18,77.57
2016,2,7,2.6227,1.88,85.32,5.63,0.09,84.98
2016,2,8,1.8689,0.9,97.95,3.22,1.7,90.22
2016,2,9,0.9713,-2.55,98.39,8.41,4.62,81.49
