Unnamed: 0,ac_power_inv_21823_daily_max,ac_power_inv_21823_daily_mean,ac_energy_inv_21823_daily_sum
2022-01-01,3.24,1.4762926829268292,15.132
2022-01-02,3.18,1.4787,14.787
2022-01-03,2.124,0.5425263157894736,5.154
2022-01-04,3.576,1.276622950819672,12.979
2022-01-05,3.096,1.3644878048780489,13.986
2022-01-06,3.144,1.580390243902439,16.199
2022-01-07,1.188,0.5753170731707317,5.897
2022-01-08,3.24,1.540292682926829,15.788
2022-01-09,3.252,1.4905,14.905
2022-01-10,3.18,1.5354,15.354
2022-01-11,3.432,1.4090731707317072,14.443
2022-01-12,3.3000000000000003,1.311,13.11
2022-01-13,3.42,1.1816585365853658,12.112
2022-01-14,2.712,1.193704918032787,12.136
2022-01-15,3.528,1.1684,11.684
2022-01-16,3.264,1.0654,10.654
2022-01-17,2.376,0.8865,8.865
2022-01-18,3.348,1.410439024390244,14.457
2022-01-19,3.36,1.6163809523809525,16.972
2022-01-20,3.348,1.6297560975609755,16.705
2022-01-21,3.048,1.5941904761904762,16.739
2022-01-22,3.492,1.6862857142857144,17.706
2022-01-23,3.492,1.6882857142857142,17.727
2022-01-24,3.528,1.6945714285714284,17.793
2022-01-25,3.588,1.7566511627906978,18.884
2022-01-26,3.528,1.6886511627906975,18.153
2022-01-27,3.564,1.7506666666666666,18.382
2022-01-28,3.744,1.826325581395349,19.633
2022-01-29,3.684,1.8407619047619048,19.328
2022-01-30,3.708,1.8005581395348838,19.356
2022-01-31,2.892,0.9950697674418604,10.697
2022-02-01,3.912,1.925767441860465,20.702
2022-02-02,3.888,1.8712727272727276,20.584
2022-02-03,3.852,1.74196875,18.581
2022-02-04,3.732,1.886511627906977,20.28
2022-02-05,3.108,1.7408181818181818,19.149
2022-02-06,3.936,1.9268181818181815,21.195
2022-02-07,3.912,1.921,21.131
2022-02-08,3.852,1.9104545454545452,21.015
2022-02-09,3.864,1.4316363636363636,15.748
2022-02-10,3.9,1.9526363636363635,21.479
2022-02-11,3.876,1.95,21.45
2022-02-12,3.84,1.941582089552239,21.681
2022-02-13,3.876,1.9767272727272729,21.744
2022-02-14,4.152,2.020363636363636,22.224
2022-02-15,4.26,2.114577777777778,23.789
2022-02-16,4.164,2.1,23.625
2022-02-17,4.104,2.0554782608695654,23.638
2022-02-18,4.2,2.0723478260869563,23.832
2022-02-19,4.2,2.0964347826086955,24.109
2022-02-20,4.0440000000000005,1.6894468085106382,19.851
2022-02-21,4.428,2.2442608695652178,25.809
2022-02-22,5.34,2.1230434782608696,24.415
2022-02-23,4.656,2.393217391304348,27.522
2022-02-24,4.464,2.284255319148936,26.84
2022-02-25,4.524,2.311114285714285,26.963
2022-02-26,4.62,1.8378260869565215,21.135
2022-02-27,4.452,2.2942285714285715,26.766
2022-02-28,4.428,2.2824857142857145,26.629
2022-03-01,4.572,2.211404255319149,25.984
2022-03-02,4.524,2.356595744680851,27.69
2022-03-03,3.168,1.2492173913043478,14.366
2022-03-04,4.272,1.151304347826087,13.24
2022-03-05,5.4,2.454333333333333,29.452
2022-03-06,4.824,2.449795918367347,30.01
2022-03-07,4.992,2.5185833333333334,30.223
2022-03-08,4.8,2.450530612244898,30.019
2022-03-09,4.812,2.4784489795918367,30.361
2022-03-10,5.0760000000000005,2.6855,32.226
2022-03-11,4.752,2.516054794520548,30.612
2022-03-12,4.812,2.450204081632653,30.015
2022-03-13,4.74,2.3400816326530616,28.666
2022-03-14,4.716,2.4281632653061225,29.745
2022-03-15,4.74,2.022448979591837,24.775
2022-03-16,4.908,2.6262857142857143,32.172
2022-03-17,4.992,2.5808,32.26
2022-03-18,4.764,2.41432,30.179
2022-03-19,3.108,0.7982857142857143,9.779000000000002
2022-03-20,5.184,2.6892549019607843,34.288
2022-03-21,5.0280000000000005,2.6403137254901963,33.664
2022-03-22,4.92,2.576627450980392,32.852
2022-03-23,4.98,2.619058823529412,33.393
2022-03-24,4.992,2.6544313725490194,33.844
2022-03-25,5.1000000000000005,2.8115294117647056,35.847
2022-03-26,5.208,2.73616,34.202
2022-03-27,4.368,2.22528,27.816
2022-03-28,4.188,1.6685490196078432,21.274
2022-03-29,5.496,2.53128947368421,32.063
2022-03-30,5.352,2.639450980392157,33.653
2022-03-31,5.1000000000000005,2.738769230769231,35.604
2022-04-01,5.148,2.7363846153846154,35.573
2022-04-02,5.208,2.708230769230769,35.207
2022-04-03,5.376,2.876692307692308,37.397
2022-04-04,5.364,2.886,37.518
2022-04-05,5.34,2.8654615384615383,37.251
2022-04-06,5.196,2.8076923076923075,36.5
2022-04-07,4.92,2.6482025316455697,34.868
2022-04-08,5.208,2.6980621118012422,36.199
2022-04-09,5.508,2.88,38.88
2022-04-10,5.364,2.781540372670808,37.319
2022-04-11,5.88,2.4205384615384613,31.467
2022-04-12,5.748,2.985407407407408,40.303
2022-04-13,5.6160000000000005,2.828679245283019,37.48
2022-04-14,3.216,1.0317735849056604,13.671
2022-04-15,5.364,2.881283018867925,38.177
2022-04-16,4.716,1.5896923076923075,20.666
2022-04-17,5.5200000000000005,2.9729454545454543,40.878
2022-04-18,5.652,2.4759272727272728,34.044
2022-04-19,5.5680000000000005,2.2225341614906835,29.819
2022-04-20,5.5440000000000005,2.8895272727272725,39.731
2022-04-21,3.936,1.2875471698113208,17.06
2022-04-22,6.396,2.6105,36.547
2022-04-23,5.496,2.940072727272728,40.426
2022-04-24,5.424,2.9056,39.952
2022-04-25,5.388,2.9256,40.227
2022-04-26,5.532,3.0555714285714286,42.778
2022-04-27,5.532,2.9949818181818184,41.181
2022-04-28,5.82,3.0180714285714285,42.253
2022-04-29,5.676,2.9602105263157896,42.183
2022-04-30,5.664,2.9677894736842108,42.291
2022-05-01,5.724,2.994736842105264,42.675
2022-05-02,5.94,2.978245614035088,42.44
2022-05-03,5.7,3.0384,43.044
2022-05-04,5.364,2.9090823529411765,41.212
2022-05-05,5.016,2.5460350877192983,36.281
2022-05-06,5.46,2.7486352941176477,38.939
2022-05-07,5.808,3.1058245614035087,44.258
2022-05-08,6.144,2.5229473684210526,35.952
2022-05-09,6.204,2.585754385964912,36.847
2022-05-10,6.42,2.995379310344828,43.433
2022-05-11,5.916,3.0796551724137933,44.655
