system_id,latitude,longitude,elevation_m,abs(azimuth - 180),tilt,performance_ratio,solar irradiance,temperature,cloud cover,wind speed,humidity,precipitation
10000,44.914573,-93.162525,288.7918701,0.0,33.0,0.1607211258023591,3.743915616438356,5.4005753424657525,63.483260273972604,3.9764383561643837,3.0270136986301375,83.50369863013698
10001,39.483937,-76.301594,51.22254181,0.0,20.0,0.2740850701678261,4.093047671232877,12.99904109589041,63.73646575342465,3.4966027397260273,2.970356164383561,77.22947945205479
10003,40.346434,-76.423645,145.1507721,0.0,35.0,0.2945323061315152,3.873484109589041,10.765972602739726,66.07328767123288,2.2252876712328766,3.382958904109589,80.01394520547944
10005,33.198982,-97.150581,207.6394348,0.0,19.0,0.2194747217966159,4.707509863013698,18.45841095890411,50.966410958904106,4.469095890410959,2.365068493150685,71.62586301369863
10010,45.136089,-88.010933,202.5121918,0.0,35.0,0.3153260758664685,3.56152301369863,5.190986301369863,66.48879452054794,4.54972602739726,3.3279178082191776,85.77917808219176
10012,40.889911,-75.1112,190.1212769,0.0,0.0,0.2641426522729909,3.8791106849315065,9.804438356164383,65.21931506849315,2.132575342465753,3.469917808219178,81.58298630136987
10013,37.231378,-121.874925,66.50632477,0.0,26.0,0.3125265165212449,5.223814246575342,14.12117808219178,35.56638356164383,2.6754520547945204,2.0207671232876714,74.72854794520548
10014,37.358162,-119.679978,761.8326416,0.0,27.5,0.4081193319008987,5.145488767123288,6.661397260273973,38.58605479452055,2.283397260273973,2.54358904109589,61.41841095890411
10017,40.006855,-75.802725,169.7474365,0.0,30.0,0.243403862263413,3.8791106849315065,12.068383561643836,65.21931506849315,2.472739726027397,3.3902191780821918,78.62402739726028
10018,37.777208,-121.955399,191.3871155,0.0,1.0,0.4237738222274748,5.223814246575342,14.699780821917809,35.56638356164383,3.983095890410959,2.5535890410958904,72.71279452054794
10019,39.798127,-105.226237,1803.02417,0.0,1.0,0.311946860690353,4.717101643835616,9.622328767123289,54.034410958904104,3.4811780821917813,1.318876712328767,50.83249315068493
10020,33.754828,-117.769851,88.27826691,45.0,23.0,0.2711134218357341,5.287769589041096,16.686246575342466,40.626465753424654,2.763835616438356,1.4382191780821916,55.07038356164383
10021,40.706246,-111.85657,1340.021851,0.0,26.1,0.3216140274769704,4.683581369863013,8.539698630136987,50.73789041095891,2.8343835616438353,1.7781369863013698,59.497643835616444
10022,33.739571,-117.78618,47.76081467,45.0,23.0,0.271273699217285,5.287769589041096,17.149671232876713,40.626465753424654,2.8942191780821913,1.522958904109589,66.39002739726027
10024,30.216108,-97.85828,236.9563904,45.0,32.0,0.2389076276655298,4.794513972602739,20.25117808219178,55.324301369863,4.2730136986301375,1.973150684931507,68.73057534246576
10025,43.160857,-78.68756,194.4611359,0.0,35.0,0.2691285093497639,3.478576438356164,8.75586301369863,75.99698630136987,3.73131506849315,2.765205479452055,80.54838356164385
10026,40.543354,-74.3587,36.85355377,0.0,25.0,0.2429309894771911,3.9429153424657533,11.685342465753424,63.853945205479455,3.088164383561644,3.7403561643835617,80.58397260273973
10027,38.819863,-77.05854,9.946813583,90.0,42.0,0.1943868972417117,4.197793698630137,13.77405479452055,61.755589041095895,3.893068493150685,2.7712328767123284,75.86482191780821
10028,19.70932,-155.096467,82.58058929,45.0,0.0,0.2489857157601,5.442938082191781,21.947232876712334,51.88043835616438,4.547178082191781,3.7717534246575344,83.13761643835616
10029,40.206057,-75.66107,105.7484665,0.0,30.0,0.2489061693571327,3.8791106849315065,12.068383561643836,65.21931506849315,2.472739726027397,3.3902191780821918,78.62402739726028
10030,42.583436,-71.0982,40.09022141,45.0,30.0,0.1964341581461778,3.817758630136986,9.274849315068495,62.30068493150685,2.5887945205479452,3.8033972602739734,80.83
10031,39.440152,-84.22175,234.6027832,0.0,30.0,0.2054372784728731,3.9447904109589036,11.830493150684932,63.92641095890411,4.03586301369863,3.1023287671232875,79.89991780821919
10032,33.053092,-117.26855,107.1267166,90.0,4.0,0.3240095404238236,5.287769589041096,17.249342465753426,40.626465753424654,3.071561643835616,1.8955616438356164,74.66336986301368
10033,33.213309,-117.21474,163.9241791,0.0,22.0,0.35831531674124,5.287769589041096,17.249342465753426,40.626465753424654,3.071561643835616,1.8955616438356164,74.66336986301368
10034,42.907903,-76.301451,335.4976501,0.0,18.0,0.2419093651848331,3.550880273972602,8.280931506849315,69.04008219178083,2.610657534246575,3.281095890410959,82.73213698630136
10035,37.34901,-122.262354,379.9378967,0.0,21.0,0.3870179973810483,4.699574246575343,13.787205479452055,54.61172602739726,4.562684931506849,1.9068219178082193,82.40120547945205
10036,39.317735,-84.24728,215.3039398,0.0,33.0,0.1241864756343079,3.9447904109589036,11.830493150684932,63.92641095890411,4.03586301369863,3.1023287671232875,79.89991780821919
