system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10038,44.985792,-92.96532,327.1618347,180.0,45.0,2.544,0.6272815328968606,0.24657292959782257
10040,42.457201,-71.37478,38.37024689,135.0,43.0,8.325,1.9425776441154288,0.23334265995380526
10041,34.639682,-120.4471,33.97042084,225.0,30.0,4.08,1.3463329865097013,0.3299835751249268
10042,40.411102,-74.23767,13.39910316,135.0,0.0,10.81,2.033673879351738,0.18812894351079906
10043,40.737132,-111.86044,1318.316284,270.0,1.0,5.5,2.202952138989243,0.40053675254349874
10044,38.588301,-88.03692,156.0935516,180.0,32.0,11.04,3.0348779487541924,0.274898364923387
10045,40.7143,-73.55527,23.0485878,90.0,26.0,7.41,1.809110749509428,0.2441445006085598
10046,41.823502,-73.773153,87.94309998,135.0,31.0,8.82,1.9108670230289533,0.21665158991257974
10047,40.041472,-77.197073,301.7223206,225.0,18.0,4.6,1.1142250663425508,0.2422228405092502
10048,39.543274,-76.59298,142.8658142,180.0,30.0,10.0,2.56121662816362,0.256121662816362
10049,40.385051,-120.597199,1257.569092,180.0,35.0,6.58,2.8796891950108696,0.4376427348040835
10050,34.049789,-84.38539,336.6459656,225.0,10.0,3.76,1.6060570684153923,0.42714283734451924
10051,19.625495,-155.01121,46.67282486,135.0,0.0,4.59,1.3880740262754823,0.30241264189008327
10053,45.511033,-122.794381,86.27246857,225.0,20.0,6.58,1.503196725438744,0.22844935037062977
10055,34.401608,-119.310759,123.694046,180.0,0.0,7.75,1.5751831304245427,0.20324943618381197
10056,40.153144,-88.142158,215.8578644,180.0,34.0,11.28,3.370066520547865,0.2987647624599171
10058,41.823502,-73.773165,88.03699493,135.0,31.0,8.1,1.910940642684998,0.23591859786234542
10059,42.501345,-71.07132,28.54839897,180.0,40.0,6.9,1.7604455841143682,0.2551370411759954
10060,37.889125,-122.29371,19.32143974,180.0,21.0,2.25,0.8170081087676774,0.36311471500785664
10063,37.295092,-121.89649,42.72908783,225.0,0.0,6.902,2.0245136767871172,0.2933227581551894
10064,42.659936,-70.61727,1.32654357,180.0,12.0,4.32,1.1043813968638148,0.25564384186662376
10067,33.852449,-117.732192,261.3201599,135.0,22.0,6.24,1.995624230594304,0.31981157541575383
