YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2021,1,1,0.7421,15.75,98.81,3.1,36.05,98.6
2021,1,2,2.8498,13.33,75.15,1.84,0.81,92.93
2021,1,3,1.74,6.09,73.06,2.88,0.03,83.99
2021,1,4,3.3638,5.21,40.74,2.0,0.0,82.91
2021,1,5,2.5558,7.31,49.36,2.77,0.0,83.82
2021,1,6,3.109,3.22,71.37,1.67,0.0,76.83
2021,1,7,1.2871,3.0,96.24,2.89,7.64,85.24
2021,1,8,0.8808,2.8,98.44,2.53,2.32,93.86
2021,1,9,1.5348,1.27,79.15,2.52,0.01,82.01
2021,1,10,3.1003,1.81,52.29,1.64,0.0,78.73
2021,1,11,0.979,3.46,95.99,1.78,3.63,91.73
2021,1,12,1.9956,4.16,60.58,2.0,0.16,89.48
2021,1,13,3.0053,2.83,46.26,1.75,0.01,81.39
2021,1,14,3.7517,3.85,19.3,2.31,0.0,85.53
2021,1,15,3.6252,5.3,45.36,2.72,0.27,77.58
2021,1,16,1.3898,0.94,90.09,3.23,0.03,80.75
2021,1,17,2.3309,2.68,87.86,2.48,0.06,82.52
2021,1,18,3.6206,3.75,14.29,2.74,0.0,81.08
2021,1,19,1.722,6.54,79.99,2.31,0.12,76.51
2021,1,20,3.7874,6.76,62.35,2.7,0.02,76.98
2021,1,21,0.6845,6.82,99.39,2.1,2.42,94.98
2021,1,22,2.2771,6.33,71.89,1.51,0.3,81.08
2021,1,23,3.9118,4.76,28.33,1.92,0.03,77.0
2021,1,24,2.4535,6.69,70.49,1.89,0.38,78.11
2021,1,25,0.7272,12.41,99.26,2.0,14.72,97.85
2021,1,26,3.0574,15.2,75.97,2.56,11.32,87.41
2021,1,27,3.0264,10.6,83.7,2.79,11.07,87.29
2021,1,28,4.1515,2.64,35.27,3.53,0.01,67.28
2021,1,29,4.1642,2.42,32.07,1.33,0.0,69.33
2021,1,30,1.7926,2.47,84.67,2.21,0.03,83.74
2021,1,31,1.1638,5.77,99.14,1.78,12.58,96.72
2021,2,1,1.1194,2.52,98.82,4.57,0.03,75.3
2021,2,2,4.2156,1.79,41.84,4.39,0.0,65.83
2021,2,3,4.6025,1.18,9.98,2.52,0.0,72.35
2021,2,4,1.9366,2.83,88.45,2.14,0.16,78.2
2021,2,5,4.2679,6.38,61.73,2.79,2.87,77.61
2021,2,6,1.5254,3.33,66.32,2.5,5.72,75.77
2021,2,7,3.2674,3.73,53.6,2.28,4.38,87.03
2021,2,8,3.9787,4.74,47.57,2.13,0.15,86.1
2021,2,9,2.9261,10.59,55.56,1.48,0.02,88.35
2021,2,10,4.2406,11.61,19.88,1.72,0.0,83.84
2021,2,11,0.7865,13.79,98.51,1.72,7.67,95.37
2021,2,12,0.9547,6.71,99.71,2.37,4.49,94.26
2021,2,13,1.3378,4.3,95.37,1.89,11.93,94.31
2021,2,14,1.2624,4.83,95.56,2.26,3.84,91.94
2021,2,15,1.1923,5.39,95.57,2.87,18.09,96.93
2021,2,16,2.1456,-0.78,70.35,3.68,0.2,71.79
2021,2,17,4.5089,2.92,62.97,2.26,1.89,74.77
2021,2,18,0.8045,4.73,98.88,2.27,12.64,94.77
2021,2,19,4.0001,4.74,54.82,2.51,0.03,78.4
2021,2,20,5.3654,2.45,3.35,2.25,0.0,71.29
2021,2,21,5.2464,4.82,21.7,2.91,0.21,78.01
2021,2,22,3.3146,9.09,52.59,3.28,4.26,87.59
2021,2,23,5.4144,8.41,0.25,2.54,0.0,81.16
2021,2,24,5.4449,11.33,6.15,2.35,0.0,77.46
2021,2,25,5.2529,12.71,29.75,2.33,0.02,81.12
2021,2,26,0.8486,11.68,99.32,2.11,7.94,93.48
2021,2,27,2.3426,16.0,99.08,2.02,1.79,91.16
2021,2,28,2.4598,17.94,97.83,2.61,0.41,89.78
2021,3,1,1.3922,14.32,99.84,2.79,3.13,85.32
2021,3,2,1.9922,6.33,96.7,2.04,5.63,79.71
2021,3,3,5.8082,8.7,12.86,2.21,2.0,77.28
2021,3,4,5.8099,10.12,0.07,2.48,0.05,76.72
2021,3,5,5.2404,9.42,50.24,1.86,0.0,69.95
2021,3,6,4.6906,6.18,47.54,2.21,0.0,76.69
2021,3,7,6.126,5.69,3.61,2.35,0.0,70.94
2021,3,8,5.5368,7.91,4.76,1.85,0.0,64.68
2021,3,9,4.693,9.73,34.97,1.97,0.0,75.95
2021,3,10,5.6234,11.72,33.52,2.0,0.0,77.16
2021,3,11,4.3298,12.59,82.73,1.79,0.0,84.4
2021,3,12,4.3783,14.69,72.17,2.12,0.0,82.53
2021,3,13,3.0773,16.07,98.02,1.53,0.03,87.57
2021,3,14,4.2067,17.1,94.25,1.59,0.0,77.89
2021,3,15,3.1776,14.27,98.78,3.39,0.3,79.36
2021,3,16,1.0531,13.06,99.41,2.09,15.74,95.95
2021,3,17,1.2737,11.97,99.04,2.27,9.77,95.34
2021,3,18,4.0771,15.97,90.86,4.76,12.55,82.54
2021,3,19,3.0098,10.27,93.76,2.93,0.09,76.31
2021,3,20,6.6744,7.49,5.5,3.25,0.0,68.5
2021,3,21,4.236,10.48,64.89,3.13,0.01,80.47
2021,3,22,5.5836,12.69,55.11,2.7,0.0,80.65
2021,3,23,2.363,13.97,99.81,2.09,0.06,88.48
2021,3,24,3.9602,16.38,86.93,1.75,0.95,89.66
2021,3,25,0.461,17.96,98.35,3.0,29.26,94.13
2021,3,26,5.5157,19.61,60.46,2.23,7.62,81.86
2021,3,27,3.0696,20.46,90.29,2.23,1.97,87.05
2021,3,28,1.9078,16.36,85.31,3.7,5.14,82.22
2021,3,29,6.6862,10.89,0.03,1.77,0.0,66.72
2021,3,30,5.9988,14.57,49.68,2.29,0.75,83.53
2021,3,31,0.811,16.87,89.59,3.16,24.48,91.13
2021,4,1,7.499,6.21,2.0,4.21,0.13,56.93
2021,4,2,7.6238,5.22,0.35,1.99,0.09,63.31
2021,4,3,7.2917,8.36,5.31,1.71,0.21,63.66
2021,4,4,7.3613,11.71,0.03,2.0,0.0,64.8
2021,4,5,7.0138,15.17,0.05,1.79,0.0,62.91
2021,4,6,6.7152,16.15,8.76,2.05,0.0,69.57
2021,4,7,5.801,17.66,61.97,1.95,0.0,77.24
2021,4,8,3.2712,18.31,70.88,2.62,0.23,84.38
2021,4,9,5.3702,18.72,82.01,1.86,0.12,86.82
2021,4,10,2.287,17.25,76.76,2.79,15.83,94.26
2021,4,11,7.5334,16.49,7.99,2.71,0.5,74.62
