YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2022,1,1,2.4158,-15.73,27.24,1.74,0.28,95.61
2022,1,2,2.2142,-14.13,63.92,3.2,0.0,86.35
2022,1,3,1.4369,-7.41,87.9,3.92,0.01,85.19
2022,1,4,0.8842,-2.66,96.32,2.97,2.68,88.56
2022,1,5,0.5436,-0.12,96.04,3.06,13.47,96.52
2022,1,6,0.7709,0.53,94.88,2.38,2.83,94.32
2022,1,7,1.2713,-0.31,95.09,3.23,0.56,88.72
2022,1,8,2.46,-3.56,34.05,2.18,0.75,91.38
2022,1,9,2.5985,-8.34,26.05,2.37,0.0,90.13
2022,1,10,2.5963,-6.95,51.91,2.16,0.0,71.36
2022,1,11,2.4528,-5.47,59.61,1.53,0.0,77.23
2022,1,12,2.4665,-3.41,69.56,2.32,0.0,67.28
2022,1,13,1.5557,-1.73,71.28,2.56,0.0,69.28
2022,1,14,2.7708,-3.75,24.25,1.38,0.0,92.62
2022,1,15,2.6342,-4.47,48.78,1.62,0.0,81.41
2022,1,16,2.6875,-2.45,49.06,1.31,0.0,65.53
2022,1,17,2.5778,-1.66,69.52,1.5,0.0,56.69
2022,1,18,2.5505,-1.43,80.94,1.12,0.0,64.63
2022,1,19,2.087,-3.25,48.79,1.57,0.0,85.49
2022,1,20,2.4497,-4.39,61.08,1.54,1.88,88.38
2022,1,21,2.6983,-2.92,57.62,2.22,0.92,91.36
2022,1,22,2.8188,-5.61,23.8,1.63,0.01,83.31
2022,1,23,2.8932,-4.87,22.83,0.98,0.0,88.56
2022,1,24,2.5541,-3.19,75.42,1.66,0.12,80.93
2022,1,25,2.4758,-4.12,44.48,2.29,0.83,82.27
2022,1,26,2.3158,-5.32,38.4,1.37,0.0,74.13
2022,1,27,3.1466,-6.06,23.68,1.92,0.0,73.29
2022,1,28,3.2249,-5.55,25.29,1.67,0.01,59.42
2022,1,29,3.0643,-2.49,29.26,1.31,0.01,48.29
2022,1,30,3.1632,-2.73,35.82,1.14,0.0,51.87
