YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2021,1,1,0.4325,3.45,99.24,3.02,13.29,95.74
2021,1,2,1.7198,10.31,97.41,2.42,2.48,93.46
2021,1,3,1.8778,7.55,80.75,2.29,3.48,88.29
2021,1,4,3.2381,2.63,31.04,2.19,0.13,83.35
2021,1,5,1.9157,3.41,60.18,2.44,0.49,89.94
2021,1,6,2.891,1.15,55.53,2.06,0.0,81.54
2021,1,7,2.4034,-0.11,59.42,1.97,0.17,87.88
2021,1,8,0.7421,0.47,92.36,2.61,8.35,94.75
2021,1,9,3.419,-0.3,4.1,2.89,0.01,81.53
2021,1,10,3.4606,0.33,6.96,2.21,0.02,78.3
2021,1,11,0.8122,1.85,98.3,1.48,1.14,87.43
2021,1,12,3.3782,2.19,31.68,2.45,0.14,88.82
2021,1,13,3.5395,1.78,27.89,2.37,0.02,84.94
2021,1,14,3.4654,1.7,44.16,2.32,0.0,86.03
2021,1,15,0.9898,2.52,65.56,1.61,1.4,89.08
2021,1,16,2.5406,-0.01,62.57,3.33,0.14,82.17
2021,1,17,2.9952,0.58,43.41,2.66,0.02,85.49
2021,1,18,3.1646,0.53,17.3,2.99,0.01,84.2
2021,1,19,2.6153,2.72,53.12,2.73,0.0,85.8
2021,1,20,3.8323,2.35,18.36,3.67,0.0,76.94
2021,1,21,2.0525,3.22,99.56,2.67,0.1,85.63
2021,1,22,2.7926,3.41,62.85,2.95,0.0,80.8
2021,1,23,3.9456,-0.38,2.28,2.86,0.0,70.86
2021,1,24,2.929,0.79,66.44,2.36,0.03,76.76
2021,1,25,0.6252,5.58,99.03,1.83,13.49,95.87
2021,1,26,1.4438,9.93,95.53,2.54,8.45,91.56
2021,1,27,2.9328,6.9,81.19,2.91,18.23,88.53
2021,1,28,3.9926,-1.59,21.89,4.52,2.23,76.43
2021,1,29,4.0452,-1.96,10.68,2.07,0.02,71.47
2021,1,30,2.6426,-1.25,69.37,1.77,0.07,82.84
2021,1,31,0.8719,-0.09,98.58,1.15,11.89,96.9
2021,2,1,2.2399,0.57,97.79,3.8,2.19,85.12
2021,2,2,2.0779,-1.84,57.96,6.2,0.05,75.37
2021,2,3,4.4136,-2.08,11.32,5.24,0.0,74.2
2021,2,4,2.3371,-0.76,88.76,2.44,0.0,80.02
2021,2,5,3.1416,1.67,91.01,3.27,1.51,83.58
2021,2,6,2.4362,1.74,64.76,1.73,2.44,81.2
2021,2,7,4.1184,0.55,37.09,2.83,8.36,86.93
2021,2,8,4.0102,0.2,36.67,2.08,0.0,83.84
2021,2,9,3.6754,6.3,53.42,2.14,0.17,90.08
2021,2,10,2.9299,6.11,64.03,2.26,0.09,93.63
2021,2,11,0.917,7.02,97.91,2.33,16.7,94.74
2021,2,12,0.7663,-0.21,99.36,2.5,3.2,90.79
2021,2,13,1.3248,-0.71,99.22,2.24,20.14,96.31
2021,2,14,1.0483,0.47,96.96,2.28,6.57,96.11
2021,2,15,1.055,0.8,94.71,2.36,18.22,97.36
2021,2,16,3.9905,-0.63,44.36,3.74,2.3,85.59
2021,2,17,4.1023,-1.36,55.09,2.1,0.04,82.69
2021,2,18,1.068,-0.27,96.14,2.5,14.4,95.21
2021,2,19,3.3852,0.29,56.02,2.69,1.11,89.59
2021,2,20,5.2284,-1.52,17.19,3.23,0.0,78.69
2021,2,21,5.0078,-1.21,31.23,2.37,0.01,84.73
2021,2,22,2.3198,2.5,63.41,3.22,7.83,93.92
2021,2,23,5.2939,4.94,3.31,3.25,0.0,86.44
2021,2,24,5.2817,9.77,12.85,3.02,0.01,76.82
2021,2,25,5.0654,10.55,21.95,2.12,0.01,73.4
2021,2,26,0.7183,4.13,95.07,3.24,15.93,89.6
2021,2,27,2.4473,7.64,95.13,2.04,1.84,96.12
2021,2,28,3.2774,13.96,95.54,3.1,0.72,94.94
2021,3,1,1.0303,11.5,98.96,4.17,5.03,82.76
2021,3,2,2.5795,2.77,95.28,1.81,0.0,65.95
2021,3,3,5.6671,6.18,28.16,2.23,0.0,68.75
2021,3,4,5.3237,7.44,1.79,3.72,0.0,76.06
2021,3,5,5.6323,2.61,37.28,2.84,0.0,71.06
2021,3,6,5.5421,3.67,49.07,2.06,0.0,69.17
2021,3,7,5.9441,1.85,2.92,2.7,0.0,71.35
2021,3,8,6.0804,5.68,8.66,2.07,0.0,64.24
2021,3,9,5.4014,9.51,43.86,2.38,0.0,66.5
2021,3,10,5.4926,11.71,50.3,2.49,0.0,69.16
2021,3,11,5.0184,12.1,51.24,3.03,0.0,83.4
2021,3,12,3.8402,14.32,72.97,2.5,0.07,83.98
2021,3,13,1.776,12.1,98.17,1.97,0.02,71.66
2021,3,14,3.7831,11.58,93.22,1.94,0.17,66.41
2021,3,15,2.923,7.5,99.49,2.9,0.12,72.59
2021,3,16,1.6646,5.71,99.46,1.42,8.43,92.53
2021,3,17,2.6124,10.07,96.53,1.78,4.62,91.71
2021,3,18,2.0882,13.09,87.31,3.89,17.59,93.52
2021,3,19,3.6118,8.18,78.59,3.84,16.21,75.24
2021,3,20,6.1013,4.01,41.95,3.44,0.0,72.71
2021,3,21,5.4202,6.97,51.38,3.34,0.03,72.31
2021,3,22,6.4476,9.07,16.19,3.15,0.0,75.86
2021,3,23,3.1507,10.95,98.31,2.72,0.88,91.18
