YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2019,1,1,2.8452,-11.4,42.65,2.07,0.12,61.17
2019,1,2,3.0422,-4.19,17.26,2.14,0.0,39.71
2019,1,3,2.9657,-0.26,12.31,4.18,0.0,49.42
2019,1,4,2.7732,3.87,21.39,3.23,0.0,45.59
2019,1,5,2.7864,4.71,52.56,2.16,0.0,38.51
2019,1,6,2.2884,2.39,51.53,3.55,0.29,53.57
2019,1,7,2.201,-0.24,53.53,6.67,0.31,49.39
2019,1,8,2.934,0.33,27.16,1.97,0.19,55.36
2019,1,9,2.4958,2.72,91.59,2.29,0.0,43.89
2019,1,10,2.1967,4.42,83.64,2.67,0.25,43.51
2019,1,11,1.2434,-2.04,99.04,4.88,13.37,94.61
2019,1,12,2.1113,-3.59,79.41,2.25,1.32,88.79
2019,1,13,3.0665,-4.26,28.66,1.99,0.04,76.64
2019,1,14,3.2693,-3.68,21.18,3.34,0.0,47.2
2019,1,15,2.9914,-1.39,52.84,3.46,0.04,55.23
2019,1,16,2.7617,0.38,69.37,3.37,0.54,67.68
2019,1,17,3.0622,0.93,52.26,3.76,0.04,56.63
2019,1,18,1.314,-2.27,82.96,4.31,5.15,75.22
2019,1,19,2.9832,-2.99,52.55,5.1,0.02,61.92
2019,1,20,2.9741,1.14,75.76,3.96,0.01,56.45
2019,1,21,2.7866,1.21,73.13,6.15,1.17,50.55
2019,1,22,2.6249,-7.44,75.01,7.82,3.87,67.22
2019,1,23,3.0391,-5.39,53.97,5.79,0.33,57.07
2019,1,24,2.3621,-7.25,73.65,3.16,3.01,68.28
2019,1,25,3.445,-6.1,36.76,3.78,0.4,60.71
2019,1,26,2.947,-4.38,65.63,5.46,0.17,62.77
2019,1,27,2.2726,0.28,81.5,7.54,0.06,59.06
2019,1,28,2.4103,-7.31,57.92,4.31,3.83,72.48
2019,1,29,3.773,-8.01,21.83,3.94,0.0,53.68
2019,1,30,3.6437,-3.55,49.42,5.33,0.0,45.91
2019,1,31,3.8484,-0.85,15.01,3.93,0.0,49.34
2019,2,1,3.8825,1.72,18.46,3.26,0.0,47.47
2019,2,2,3.5561,2.75,60.44,4.49,0.19,49.82
2019,2,3,3.695,3.09,39.52,6.84,0.13,57.0
2019,2,4,3.599,2.4,64.84,5.54,0.19,56.67
2019,2,5,3.8722,1.57,46.07,6.21,0.12,56.01
