YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2019,1,1,2.5339,-15.21,33.68,1.8,0.07,72.79
2019,1,2,2.6009,-12.61,13.04,1.28,0.1,84.92
2019,1,3,2.5999,-8.24,14.21,1.27,0.1,92.3
2019,1,4,2.5742,-5.21,41.08,2.01,0.01,85.04
2019,1,5,1.4911,-2.62,79.85,3.79,0.67,74.91
2019,1,6,0.9204,-3.02,81.7,3.22,8.91,93.95
2019,1,7,1.3805,-2.93,82.8,2.86,8.09,90.8
2019,1,8,2.376,-3.44,62.15,2.51,0.03,92.91
2019,1,9,2.2351,-0.96,84.32,3.59,0.0,85.7
2019,1,10,1.2178,-1.42,90.92,1.85,0.07,83.57
2019,1,11,2.3383,-2.59,60.86,1.39,0.02,92.01
2019,1,12,2.5716,-6.26,39.33,1.61,0.0,78.27
2019,1,13,2.8318,-8.15,28.83,1.54,0.0,69.77
2019,1,14,2.7605,-8.36,45.64,2.21,0.0,78.07
2019,1,15,1.4153,-3.04,97.38,2.46,0.72,90.82
2019,1,16,1.8043,-0.42,83.88,2.85,3.77,92.76
2019,1,17,0.8921,0.5,97.1,3.73,16.02,94.09
2019,1,18,1.3598,-3.04,77.61,3.15,8.15,93.47
2019,1,19,1.2706,-3.69,77.7,2.82,1.09,92.45
2019,1,20,1.47,-1.36,87.27,3.75,0.01,87.49
2019,1,21,0.7063,-4.81,91.99,4.13,11.9,94.81
2019,1,22,2.9107,-11.08,32.54,1.92,0.13,93.69
2019,1,23,1.3781,-8.43,81.89,2.67,0.74,91.59
2019,1,24,2.2008,-4.55,87.76,2.34,1.72,93.64
2019,1,25,2.9074,-4.7,38.57,1.74,0.2,90.51
2019,1,26,3.0058,-4.76,37.25,1.65,0.0,89.65
2019,1,27,2.9112,-3.85,72.96,2.33,0.0,89.12
2019,1,28,3.4306,-3.65,35.28,1.76,0.0,81.02
2019,1,29,3.2429,-4.72,44.38,1.7,0.0,70.19
2019,1,30,3.4476,-5.11,21.29,2.31,0.0,72.84
2019,1,31,3.4241,-2.52,11.61,2.38,0.0,72.33
2019,2,1,3.4783,-0.56,26.54,3.62,0.0,76.47
2019,2,2,2.0124,2.69,90.86,4.76,0.58,81.83
2019,2,3,1.9997,1.76,95.67,5.0,7.58,86.92
2019,2,4,1.1045,1.86,88.22,6.35,5.0,85.35
2019,2,5,1.3594,-1.39,91.81,4.47,5.32,83.15
2019,2,6,1.777,-7.41,98.11,3.92,8.12,85.98
2019,2,7,3.0187,-11.62,60.26,3.15,0.5,80.31
2019,2,8,3.5539,-9.74,48.28,3.45,0.0,78.17
2019,2,9,2.305,-6.09,67.12,3.66,0.69,81.09
2019,2,10,3.113,-2.99,77.13,5.57,1.48,86.11
2019,2,11,3.4519,-9.82,45.57,2.51,2.3,85.68
2019,2,12,2.3196,-5.74,73.51,3.82,0.04,74.83
2019,2,13,1.2113,-0.91,98.59,4.98,5.58,81.1
2019,2,14,2.2886,1.57,97.91,6.08,9.31,89.01
2019,2,15,3.0175,0.1,73.85,4.09,3.61,83.55
2019,2,16,2.6064,-4.25,85.71,2.31,1.46,73.98
