Unnamed: 0,ac_power_inv_21799_daily_max,ac_power_inv_21799_daily_mean,ac_energy_inv_21799_daily_sum
2021-04-27,9.676,4.356854545454545,59.904
2021-04-28,8.279999999999998,4.132892857142857,57.876
2021-04-29,3.337,1.3938,19.161
2021-04-30,9.469,3.5582857142857143,49.824
2021-05-01,9.939,5.408228070175439,77.08199999999998
2021-05-02,8.197000000000001,2.726017543859649,38.856
2021-05-03,3.98,1.6672857142857145,23.349
2021-05-04,8.138,2.888910714285714,40.449
2021-05-05,4.753,1.115767857142857,15.63
2021-05-06,9.728,5.151344827586207,74.7
2021-05-07,9.773,4.497120689655173,65.211
2021-05-08,7.617,1.4658793103448275,21.255
2021-05-09,10.584,3.761175438596491,53.592
2021-05-10,9.382,2.9215964912280703,41.64
2021-05-11,10.605,4.654275862068966,67.488
2021-05-12,9.74,4.872576271186441,71.877
2021-05-13,9.68,5.147542372881356,75.936
2021-05-14,9.277,5.000728813559322,73.76999999999998
2021-05-15,9.448,4.716864406779661,69.582
2021-05-16,9.376,3.575694915254237,52.74
2021-05-17,9.589,4.612186440677966,68.034
2021-05-18,10.104,4.319633333333333,64.797
2021-05-19,8.852,4.717542372881356,69.612
2021-05-20,9.148,4.593116666666666,68.901
2021-05-21,9.246,4.48564406779661,66.177
2021-05-22,8.189999999999998,3.235915254237288,47.724
2021-05-23,9.436000000000002,4.07801724137931,59.136
2021-05-24,9.294,3.425819672131148,52.248
2021-05-25,8.848,4.158918032786885,63.426
2021-05-26,8.371,4.070616666666667,61.062
2021-05-27,9.318,5.073457627118644,74.85599999999998
2021-05-28,9.986,2.964603448275862,42.999
2021-05-29,2.373,0.8719137931034482,12.639
2021-05-30,1.799,0.6517678571428571,9.135
2021-05-31,7.075,2.7285,40.941
2021-06-01,7.95,3.711590163934426,56.616
2021-06-02,6.617,3.112065573770492,47.457
2021-06-03,5.535,1.901396551724138,27.579
2021-06-04,8.262,2.0731,31.095
2021-06-05,8.654999999999998,4.613032786885245,70.347
2021-06-06,8.589,4.461360655737705,68.046
2021-06-07,8.711,3.78835,56.832
2021-06-08,8.878,2.945516666666667,44.19
2021-06-09,8.798,4.412819672131148,67.293
2021-06-10,9.392,3.89875,58.494
2021-06-11,10.055,3.317967213114754,50.616
2021-06-12,3.3080000000000003,1.4467666666666668,21.699
2021-06-13,7.686,2.6891833333333333,40.35
2021-06-14,6.041,1.8239166666666664,27.363
2021-06-15,9.315,4.5432,68.139
2021-06-16,9.35,4.93088524590164,75.20099999999998
2021-06-17,9.254,5.0111803278688525,76.43099999999998
2021-06-18,9.048,4.607704918032787,70.275
2021-06-19,9.168,3.6365573770491806,55.467
2021-06-20,9.242,4.018883333333333,60.288
2021-06-21,9.429,3.2384500000000003,48.585
2021-06-22,2.879,0.901295081967213,13.755
2021-06-23,9.387,4.993573770491803,76.152
2021-06-24,9.670000000000002,4.622622950819672,70.506
2021-06-25,8.984999999999998,3.887779661016949,57.36
2021-06-26,8.663999999999998,2.9479833333333336,44.226
2021-06-27,9.479,3.282783333333333,49.251
2021-06-28,8.752,4.220131147540983,64.359
2021-06-29,8.293000000000001,4.241966666666666,63.63
2021-06-30,8.811999999999998,4.318822580645161,66.942
2021-07-01,6.994,1.8498166666666669,27.747
2021-07-02,5.98,2.6376315789473685,37.593
2021-07-03,7.112,1.7146666666666666,24.447
2021-07-04,10.753,3.1996379310344825,46.407
2021-07-05,9.047,3.7659166666666666,56.49
2021-07-06,8.624,4.206610169491526,62.055
2021-07-07,8.324999999999998,4.4646949152542375,65.877
2021-07-08,6.245,1.8386034482758624,26.667
2021-07-09,9.774,3.5545384615384616,46.215
2021-07-10,7.357,2.73645,41.046
2021-07-11,6.588,1.900677966101695,28.044
2021-07-12,7.801,2.344866666666667,35.178
2021-07-13,3.676,1.4509642857142857,20.319
2021-07-14,8.984,3.064067796610169,45.204
2021-07-15,8.474,3.9787666666666666,59.685
2021-07-16,8.178,4.15475,62.322
2021-07-17,8.031,3.072824561403509,43.809
2021-07-18,9.016,2.69105,40.365
2021-07-19,8.003999999999998,2.727220338983051,40.233
2021-07-20,6.640000000000001,3.4915593220338983,51.507
2021-07-21,7.402,3.259322033898305,48.087
2021-07-22,8.649000000000001,4.145762711864407,61.158
2021-07-23,8.878,4.585169491525424,67.656
2021-07-24,9.296,4.4442,66.666
2021-07-25,7.184,2.239310344827586,32.475
2021-07-26,8.65,4.120233333333333,61.815
2021-07-27,8.199,4.175741379310344,60.555
2021-07-28,9.354,3.960508474576271,58.434
2021-07-29,4.832,1.5700701754385966,22.386
2021-07-30,9.495,4.050474576271187,59.745
