YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2020,1,1,0.8796,12.09,99.22,2.56,1.56,72.07
2020,1,2,0.821,14.98,99.84,2.11,8.44,96.14
2020,1,3,2.6148,13.24,53.83,3.32,0.05,79.22
2020,1,4,4.0644,11.49,0.39,2.61,0.0,63.16
2020,1,5,3.7212,11.98,0.0,3.45,0.0,75.53
2020,1,6,3.8309,14.74,17.67,2.83,0.0,80.85
2020,1,7,4.2281,12.22,9.2,2.99,0.0,51.56
2020,1,8,4.0354,11.59,20.77,4.28,0.0,76.02
2020,1,9,1.3714,18.71,99.17,5.72,0.36,90.92
2020,1,10,0.8059,20.82,99.31,6.99,15.46,92.41
2020,1,11,3.0113,10.73,52.78,5.06,4.33,72.58
2020,1,12,3.2227,7.42,58.63,2.21,0.93,85.7
2020,1,13,1.32,13.36,99.33,2.59,4.79,94.17
2020,1,14,1.2502,20.74,82.96,3.05,4.14,92.5
2020,1,15,1.8934,20.55,99.04,3.24,0.53,92.3
2020,1,16,1.7657,19.54,98.78,2.69,0.54,90.65
2020,1,17,1.3656,18.37,98.64,4.61,0.84,89.07
2020,1,18,1.5166,16.94,89.3,3.3,4.47,84.54
2020,1,19,4.483,8.54,0.67,4.84,0.0,55.45
2020,1,20,4.3183,7.61,3.75,3.34,0.11,64.66
2020,1,21,3.6691,7.9,68.14,3.14,0.02,68.35
2020,1,22,0.9281,10.39,99.44,5.38,21.03,92.25
2020,1,23,1.4158,13.08,69.35,3.66,3.09,86.14
2020,1,24,4.2137,10.74,0.57,2.47,0.01,68.21
2020,1,25,2.9683,11.68,69.31,3.54,1.3,78.81
2020,1,26,3.5218,15.92,50.75,2.68,6.13,83.05
2020,1,27,1.5067,12.35,92.08,2.27,0.19,87.69
2020,1,28,1.4222,13.03,79.17,3.42,9.2,93.44
2020,1,29,1.927,8.73,90.3,4.72,0.01,75.64
2020,1,30,1.6421,10.13,98.85,2.42,0.01,85.87
2020,1,31,1.8874,9.81,75.21,2.51,0.0,82.8
2020,2,1,4.8821,10.58,3.15,2.98,0.0,62.94
2020,2,2,4.8634,12.63,37.88,3.71,0.0,67.54
2020,2,3,1.9438,17.38,94.75,5.51,0.07,88.46
2020,2,4,2.316,20.74,99.63,3.49,0.06,83.8
2020,2,5,1.4736,9.28,99.19,5.78,0.74,73.39
2020,2,6,4.8175,4.74,39.76,5.05,0.16,60.33
2020,2,7,5.0009,9.8,8.9,3.63,0.0,62.83
2020,2,8,3.217,13.2,42.29,3.16,0.02,79.8
2020,2,9,1.4278,17.8,89.99,4.97,1.57,94.0
2020,2,10,1.8713,19.9,99.43,3.64,3.96,93.88
2020,2,11,0.7759,11.97,99.2,3.89,1.68,88.69
2020,2,12,0.8246,12.19,94.57,3.15,5.65,92.22
2020,2,13,4.0486,8.94,29.69,4.34,0.02,75.78
2020,2,14,4.7731,7.74,0.81,2.98,0.0,75.59
2020,2,15,3.3043,11.87,78.13,3.32,0.02,84.64
2020,2,16,2.9726,16.13,83.71,1.87,0.05,88.02
2020,2,17,2.0568,19.09,78.7,3.93,0.08,91.15
2020,2,18,1.5499,20.13,99.53,3.0,2.96,87.75
2020,2,19,0.8326,13.23,98.77,3.36,3.36,89.39
2020,2,20,1.231,9.41,86.18,5.67,7.08,82.9
2020,2,21,5.6525,7.1,5.66,3.77,0.07,71.13
