Unnamed: 0,ac_power_inv_22040_daily_max,ac_power_inv_22040_daily_mean,ac_energy_inv_22040_daily_sum
2021-01-01,1.839,0.4061657142857142,5.925
2021-01-02,1.423,0.2535941176470588,3.587
2021-01-03,0.688,0.1131040462427745,1.631
2021-01-04,2.305,0.3119824561403508,4.448
2021-01-05,0.942,0.181057803468208,2.609
2021-01-06,2.078,0.4101929824561403,5.844
2021-01-07,2.1750000000000003,0.4807542857142856,7.008
2021-01-08,2.269,0.4700681818181818,6.889
2021-01-09,2.337,0.4983828571428571,7.268
2021-01-10,2.427,0.5084011299435028,7.495
2021-01-11,0.88,0.1953806818181818,2.867
2021-01-12,2.577,0.4844632768361582,7.144
2021-01-13,2.54,0.4974463276836158,7.336999999999998
2021-01-14,0.755,0.1563976608187134,2.226
2021-01-15,2.665,0.5233828571428571,7.628999999999999
2021-01-16,0.8389999999999999,0.1377727272727272,1.767
2021-01-17,1.993,0.3759887640449438,5.576
2021-01-18,2.858,0.5176590909090909,7.588
2021-01-19,3.233,0.6091920903954802,8.981
2021-01-20,2.1630000000000003,0.3079028571428571,4.488
2021-01-21,2.248,0.2680790960451977,3.953
2021-01-22,3.486,0.5057215909090909,7.413
2021-01-23,3.793,0.7924514285714286,11.559
2021-01-24,4.008,0.8704406779661018,12.84
2021-01-25,3.712,0.8373672316384181,12.348
2021-01-26,2.762,0.4421685393258427,6.555
2021-01-27,0.758,0.1451548387096774,1.874
2021-01-28,0.885,0.2207816091954022,3.205
2021-01-29,4.003,0.8670280898876404,12.865
2021-01-30,4.061,1.0232977528089888,15.182
2021-01-31,3.699,0.8406927374301677,12.538
2021-02-01,0.265,0.0756309523809523,1.058
2021-02-02,0.2369999999999999,0.0297796610169491,0.2909999999999999
2021-02-03,0.8469999999999999,0.1723898305084745,2.544
2021-02-04,3.504,0.4705593220338983,6.938
2021-02-05,1.125,0.2002222222222222,3.013
2021-02-06,4.072,1.088711111111111,16.337
2021-02-07,0.4279999999999999,0.0641787709497206,0.955
2021-02-08,2.615,0.5167942857142857,7.535
2021-02-09,0.678,0.1377853107344632,2.033
2021-02-10,1.573,0.2660514285714285,3.88
2021-02-11,3.973,0.8869944134078211,13.23
2021-02-12,4.192,1.0743131868131868,16.3
2021-02-13,2.861,0.7984890109890109,12.11
2021-02-14,1.253,0.3125888888888888,4.689
2021-02-15,1.198,0.1796145251396647,2.678
2021-02-16,1.26,0.2499602272727272,3.665
2021-02-17,4.3260000000000005,1.3621038251366122,20.77
2021-02-18,1.144,0.3243777777777777,4.864
2021-02-19,0.392,0.0606931818181818,0.887
2021-02-20,0.312,0.0400465116279069,0.5779999999999998
2021-02-21,4.158,1.0645409836065574,16.236
2021-02-22,3.214,0.4864010989010988,7.373
2021-02-23,4.061,0.8702185792349727,13.271
2021-02-24,4.0120000000000005,1.1595135135135135,17.88
2021-02-25,4.4190000000000005,1.343491891891892,20.715
2021-02-26,4.154,1.432021505376344,22.2
2021-02-27,0.6129999999999999,0.1216795580110497,1.839
2021-02-28,1.209,0.3941344086021505,6.105
2021-03-01,0.777,0.2049180327868852,3.123
2021-03-02,4.67,1.599631016042781,24.927
2021-03-03,4.389,1.3781521739130436,21.133
2021-03-04,4.604,1.1357446808510638,17.794
2021-03-05,3.887,1.122441489361702,17.581
2021-03-06,4.363,1.5504946808510638,24.291
2021-03-07,4.263,1.509968085106383,23.657
2021-03-08,4.237,1.507382978723404,23.621
2021-03-09,3.991,1.4151263157894738,22.401
2021-03-10,4.126,1.4494736842105262,22.948
2021-03-11,3.617,0.8181256544502618,13.023
2021-03-12,4.067,1.480510752688172,22.949
2021-03-13,4.236,1.5040261780104711,23.943
2021-03-14,4.333,0.9508882681564246,14.185
2021-03-15,4.49,1.6988379888268157,25.342
2021-03-16,4.1690000000000005,1.3890444444444443,20.826
2021-03-17,3.887,1.5141277777777775,22.705
2021-03-18,0.814,0.2388100558659217,3.555
2021-03-19,4.384,1.7017597765363128,25.386
2021-03-20,4.03,1.5951436464088398,24.064
2021-03-21,4.014,1.563401098901099,23.711
2021-03-22,4.002,1.580675824175824,23.972
2021-03-23,3.977,1.5875769230769232,24.077
2021-03-24,3.492,0.9295573770491804,14.179
2021-03-25,3.049,0.4733672316384181,6.985
2021-03-26,2.69,0.4859834254143646,7.332
2021-03-27,3.915,1.5865191256830602,24.195
2021-03-28,0.3649999999999999,0.1080555555555555,1.625
2021-03-29,4.329,1.3202065217391306,20.237
2021-03-30,4.117,1.663961956521739,25.517
2021-03-31,1.462,0.500767955801105,7.559
2021-04-01,1.892,0.3102333333333333,4.656
2021-04-02,4.856,1.272967741935484,19.728
2021-04-03,4.252,1.7383279569892474,26.944
2021-04-04,3.963,1.655505376344086,25.661
2021-04-05,3.621,1.038344262295082,15.836
2021-04-06,4.127,1.4471783783783785,22.311
2021-04-07,3.891,0.966764705882353,15.068
2021-04-08,4.32,1.411898395721925,22.004
2021-04-09,3.853,1.6528770053475936,25.758
2021-04-10,3.702,1.4260802139037434,22.229
2021-04-11,2.83,0.4856324324324324,7.485
2021-04-12,2.27,0.4573260869565217,7.014
2021-04-13,3.763,1.0405053191489362,16.302
2021-04-14,3.945,1.6859842105263156,26.692
2021-04-15,0.8679999999999999,0.338063492063492,5.33
2021-04-16,0.66,0.2370914285714285,3.459
2021-04-17,3.855,0.6137043010752689,9.519
2021-04-18,3.977,1.168521052631579,18.498
2021-04-19,4.237,1.2503125,20.006
2021-04-20,4.0920000000000005,1.3938376963350787,22.188
2021-04-21,3.668,1.0307135416666666,16.496
