YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2020,1,1,1.8864,-1.31,56.5,5.92,0.11,78.44
2020,1,2,1.4729,2.14,64.86,5.82,0.69,92.56
2020,1,3,0.3996,6.15,100.0,2.2,9.91,98.01
2020,1,4,0.5986,1.35,99.65,4.88,4.19,90.36
2020,1,5,0.7387,-0.73,98.96,5.91,0.23,82.18
2020,1,6,2.3328,0.39,41.73,5.93,0.01,80.01
2020,1,7,2.0945,0.3,83.6,3.49,0.02,73.37
2020,1,8,0.9682,-3.3,84.6,6.64,0.5,74.63
2020,1,9,1.4779,-0.36,84.08,6.53,0.02,74.27
2020,1,10,0.4574,7.88,100.0,6.72,15.4,94.09
2020,1,11,0.4738,14.17,99.85,9.19,6.63,90.91
2020,1,12,1.2089,1.87,92.46,5.82,0.06,76.82
2020,1,13,1.0466,1.85,95.48,3.69,0.05,89.16
2020,1,14,1.7086,2.54,63.21,5.13,0.02,93.42
2020,1,15,2.5186,4.51,60.68,4.25,0.98,87.51
2020,1,16,0.6782,-0.72,97.7,8.74,0.66,78.7
2020,1,17,1.3778,-3.51,97.5,4.47,0.16,70.99
2020,1,18,0.3622,-0.25,99.67,9.25,17.87,89.96
2020,1,19,0.8026,-8.98,97.53,8.25,0.57,83.19
2020,1,20,1.6582,-6.27,80.14,4.06,0.37,84.0
2020,1,21,1.0956,-7.77,72.31,2.66,0.03,83.93
2020,1,22,2.1914,-5.81,79.21,3.86,0.0,82.69
2020,1,23,1.3056,-0.55,99.98,3.67,0.02,83.38
2020,1,24,0.8542,2.54,99.24,5.83,16.77,91.7
2020,1,25,0.9175,1.27,98.54,4.85,2.07,93.32
2020,1,26,0.6398,-0.28,99.6,6.24,0.74,90.81
2020,1,27,0.8102,-0.52,99.57,4.02,0.21,91.37
2020,1,28,0.7795,-0.97,99.1,3.51,0.21,90.1
2020,1,29,0.8909,-1.68,98.61,2.55,0.02,84.88
2020,1,30,1.1815,-1.84,99.42,1.44,0.0,83.04
2020,1,31,1.4278,-1.88,81.34,1.52,0.18,85.24
2020,2,1,1.3462,-1.13,95.0,3.15,0.49,87.36
2020,2,2,2.4197,3.31,73.71,7.91,0.49,87.23
2020,2,3,2.7929,5.43,74.85,3.94,0.05,94.81
2020,2,4,0.7903,4.36,99.92,6.38,5.77,91.42
2020,2,5,2.2519,-1.66,98.38,5.33,5.17,74.86
2020,2,6,0.613,-1.59,99.32,4.96,2.41,92.25
2020,2,7,1.3013,-3.6,97.1,6.38,4.41,87.53
2020,2,8,1.8588,-3.7,93.36,3.83,0.98,91.7
2020,2,9,1.8641,-1.73,96.28,5.3,3.86,91.88
2020,2,10,1.026,0.66,93.87,3.98,4.89,95.93
2020,2,11,1.7422,-0.43,91.08,3.83,0.09,86.05
2020,2,12,1.7815,-1.47,98.0,2.99,8.03,88.15
2020,2,13,0.9833,-1.69,99.74,4.96,3.97,90.28
2020,2,14,2.653,-10.88,70.3,4.42,0.09,75.0
2020,2,15,2.5555,-6.99,58.14,6.13,0.01,86.95
2020,2,16,2.6364,-0.24,71.58,3.38,0.13,91.82
2020,2,17,3.4459,-0.11,52.0,3.88,0.49,86.28
2020,2,18,1.409,2.97,85.39,6.34,3.96,93.2
2020,2,19,4.1784,-3.11,47.72,4.41,0.0,78.72
2020,2,20,2.3604,-5.97,75.28,4.65,0.0,71.69
2020,2,21,4.2962,-5.56,12.42,4.11,0.0,73.4
2020,2,22,4.2833,-1.47,13.7,5.58,0.0,77.05
2020,2,23,4.1062,1.95,26.44,5.52,0.0,82.44
2020,2,24,2.1538,2.92,75.3,3.48,3.32,94.57
2020,2,25,2.1384,3.29,98.18,4.19,6.19,93.49
2020,2,26,0.81,0.11,99.54,3.46,4.98,94.39
2020,2,27,2.0647,-4.22,92.62,9.95,0.55,74.56
2020,2,28,2.0702,-5.04,96.17,6.79,0.1,74.31
2020,2,29,2.9544,-4.74,73.46,6.06,0.14,78.85
2020,3,1,3.5825,-0.76,69.41,5.6,0.0,77.43
2020,3,2,0.983,6.06,98.41,6.09,6.21,95.23
2020,3,3,1.2456,6.95,90.32,6.38,7.24,86.89
2020,3,4,1.5106,1.76,47.28,5.22,0.45,88.57
2020,3,5,4.6848,1.65,45.67,3.49,0.0,78.43
2020,3,6,1.1095,0.55,95.39,7.28,1.7,90.64
2020,3,7,4.9111,-0.74,50.81,3.74,0.0,70.66
2020,3,8,5.0105,4.91,45.83,5.7,0.0,71.36
2020,3,9,3.6094,10.25,88.43,6.77,0.14,80.56
2020,3,10,1.5372,7.19,82.93,7.32,6.23,88.29
2020,3,11,2.5075,3.22,94.24,2.02,0.07,86.26
2020,3,12,2.9885,8.79,96.73,3.46,1.67,89.51
2020,3,13,5.2082,6.62,57.89,7.76,5.39,72.79
2020,3,14,1.6193,0.5,92.36,3.08,0.71,80.93
2020,3,15,5.2411,0.97,59.03,4.55,0.0,78.93
2020,3,16,3.8052,2.39,75.64,3.33,0.67,87.4
2020,3,17,2.2649,4.62,85.41,3.83,0.17,83.48
2020,3,18,2.4502,4.02,98.44,3.56,30.29,91.3
2020,3,19,2.2399,8.78,95.58,4.18,12.25,95.44
2020,3,20,2.7432,12.02,99.19,9.23,5.37,84.45
2020,3,21,2.5358,-1.56,79.7,4.83,0.12,73.12
2020,3,22,4.5881,0.51,68.1,3.44,0.64,77.31
2020,3,23,1.2329,3.6,96.95,3.98,3.58,93.18
2020,3,24,2.3122,4.33,99.4,2.53,0.4,84.69
2020,3,25,5.093,8.23,62.06,2.0,1.6,76.82
2020,3,26,4.1698,10.38,82.84,5.05,4.28,84.01
2020,3,27,3.4015,8.56,99.42,2.9,5.15,85.52
2020,3,28,1.429,14.08,99.87,3.91,15.94,97.03
2020,3,29,3.9526,15.63,91.51,9.92,16.75,78.57
2020,3,30,1.4676,6.4,99.09,6.85,0.63,81.91
2020,3,31,2.4542,4.42,99.35,2.88,0.41,88.78
2020,4,1,4.8288,5.02,74.94,4.5,0.31,83.18
2020,4,2,6.3259,5.37,36.42,4.8,0.0,75.24
2020,4,3,6.5047,5.23,35.25,4.36,0.0,72.21
2020,4,4,6.2882,9.93,46.53,1.5,0.0,71.55
2020,4,5,3.2405,5.81,77.7,3.74,0.32,87.9
2020,4,6,6.0473,8.19,74.94,1.65,0.77,64.73
2020,4,7,2.6866,13.29,95.62,3.88,14.53,81.94
2020,4,8,4.9361,14.4,77.31,4.25,7.71,78.77
2020,4,9,4.6951,6.19,84.57,7.84,3.71,76.84
2020,4,10,4.6486,2.46,96.06,7.89,0.36,74.06
2020,4,11,6.0338,4.9,65.38,3.69,0.0,73.93
2020,4,12,2.6242,10.72,99.54,5.89,1.78,83.4
2020,4,13,2.3287,9.1,97.17,8.09,10.49,82.67
2020,4,14,4.3855,2.09,86.03,4.42,0.05,70.79
2020,4,15,3.5258,0.93,85.39,4.83,1.87,77.47
2020,4,16,5.4958,0.76,76.85,4.96,0.37,72.01
2020,4,17,1.4333,1.57,95.4,3.11,8.69,84.54
2020,4,18,6.1445,4.26,58.08,4.7,0.03,75.59
2020,4,19,4.267,6.44,79.65,5.36,0.07,83.55
2020,4,20,6.9504,6.78,63.27,3.87,0.0,67.83
2020,4,21,5.2654,4.6,87.91,8.47,1.04,69.48
2020,4,22,4.2336,3.09,69.42,3.46,1.02,71.26
2020,4,23,3.4603,9.08,97.55,2.8,1.7,88.19
2020,4,24,5.1106,9.08,70.0,4.35,0.2,86.01
2020,4,25,6.024,10.3,61.28,3.87,7.23,80.93
2020,4,26,1.813,7.47,95.76,7.38,10.67,92.03
2020,4,27,7.1194,8.93,54.12,3.05,0.12,74.08
2020,4,28,5.2363,12.15,84.61,4.23,1.79,88.79
2020,4,29,2.0388,14.95,95.55,6.97,5.95,88.96
2020,4,30,2.1098,10.31,99.43,5.27,2.87,83.36
2020,5,1,4.0104,8.44,90.28,3.91,0.47,83.13
2020,5,2,5.1005,14.09,93.56,5.68,0.67,81.61
2020,5,3,6.4476,15.87,70.66,4.42,0.01,78.65
2020,5,4,4.9502,7.53,86.11,4.94,0.0,77.35
2020,5,5,4.961,6.61,95.57,4.51,0.91,67.64
2020,5,6,6.7918,6.83,71.26,5.14,1.02,65.8
2020,5,7,6.5549,9.22,65.59,5.79,0.03,66.58
2020,5,8,3.0965,3.32,88.31,5.25,0.88,77.83
2020,5,9,5.0887,1.74,92.87,5.95,0.02,67.84
2020,5,10,3.8616,6.65,94.31,5.8,5.75,78.48
2020,5,11,2.5771,4.68,99.41,6.04,1.44,80.8
2020,5,12,6.5479,6.69,53.67,4.54,0.01,71.45
2020,5,13,8.165,8.42,32.66,2.58,0.0,64.52
2020,5,14,2.8426,14.88,93.06,5.67,8.85,85.73
2020,5,15,3.0463,18.38,96.29,5.46,16.15,91.97
2020,5,16,6.5054,15.68,92.9,2.82,0.06,81.99
2020,5,17,3.8921,18.06,97.31,2.94,1.46,89.06
2020,5,18,1.7486,19.01,99.8,3.88,15.29,94.61
2020,5,19,4.3092,15.42,99.4,6.9,4.58,77.87
2020,5,20,5.6338,12.64,97.96,4.95,0.92,67.67
2020,5,21,6.4474,13.47,66.26,4.37,1.4,83.84
2020,5,22,2.4137,16.18,98.96,1.98,7.88,88.23
2020,5,23,5.1991,18.01,97.55,1.44,0.15,81.75
2020,5,24,6.63,21.47,66.51,3.78,0.02,84.08
2020,5,25,6.9394,23.41,59.92,2.63,0.64,81.51
2020,5,26,7.6834,23.64,43.5,3.11,0.1,79.53
2020,5,27,6.2124,22.24,94.92,4.24,1.49,81.58
2020,5,28,4.2122,21.82,82.48,4.03,7.96,84.79
2020,5,29,2.6374,18.76,84.04,4.38,13.6,88.33
2020,5,30,6.0588,15.37,80.81,4.39,0.11,78.25
2020,5,31,8.0674,11.38,45.3,3.93,0.0,68.69
2020,6,1,8.1763,14.06,56.98,2.97,0.04,62.48
2020,6,2,6.6636,20.48,70.89,5.94,0.55,73.7
2020,6,3,6.3504,21.75,78.88,5.03,0.4,87.24
2020,6,4,3.4488,20.65,98.47,3.33,8.94,92.46
2020,6,5,6.6353,23.21,73.63,2.32,1.24,81.82
2020,6,6,7.824,21.23,39.62,4.11,0.25,75.42
2020,6,7,8.2668,16.75,30.91,3.34,0.0,73.62
2020,6,8,8.0854,18.8,35.86,2.13,0.0,64.1
2020,6,9,7.4995,23.07,86.3,3.86,0.04,76.3
2020,6,10,6.6209,24.97,67.8,7.24,10.31,85.34
2020,6,11,8.0098,19.39,38.48,5.43,0.32,73.72
2020,6,12,8.1816,17.91,43.66,4.21,0.01,72.65
2020,6,13,8.1761,14.56,58.13,4.24,4.21,67.44
2020,6,14,7.8401,14.72,43.37,4.56,0.02,67.53
2020,6,15,6.4486,18.19,49.38,2.97,0.03,76.09
2020,6,16,7.9531,19.29,26.22,2.93,0.0,72.67
2020,6,17,8.0153,19.83,57.27,2.85,0.0,72.77
2020,6,18,7.3272,21.12,67.79,2.38,1.31,79.77
2020,6,19,6.5654,21.81,69.54,1.36,1.17,77.32
2020,6,20,7.5715,23.39,33.05,1.6,0.05,66.41
2020,6,21,6.2498,24.33,63.33,2.44,6.24,72.74
2020,6,22,3.1567,22.63,96.91,2.03,11.78,83.93
2020,6,23,4.9018,21.37,69.89,5.43,6.94,85.09
2020,6,24,6.9852,18.87,52.94,4.09,0.65,73.26
2020,6,25,7.0246,20.05,49.55,3.83,1.03,69.82
2020,6,26,5.8056,22.32,83.06,4.23,6.46,74.13
2020,6,27,3.9005,23.13,90.71,6.35,2.08,87.56
2020,6,28,7.7237,23.16,41.58,2.81,1.0,75.87
2020,6,29,8.0189,22.46,26.42,2.27,0.0,64.05
2020,6,30,7.6639,23.16,29.63,2.79,0.01,65.02
2020,7,1,7.6901,22.74,25.39,3.53,0.02,68.23
2020,7,2,7.735,24.17,26.77,2.63,0.0,62.83
2020,7,3,7.4561,25.82,40.2,2.52,0.02,58.87
2020,7,4,7.4645,25.16,38.11,3.11,0.02,66.61
2020,7,5,7.4791,24.9,55.23,1.94,0.0,61.81
2020,7,6,7.555,26.67,29.97,1.84,0.02,52.29
2020,7,7,6.071,26.2,60.08,2.4,3.84,68.28
2020,7,8,7.2331,27.22,38.81,1.33,0.92,66.01
2020,7,9,7.2559,28.94,39.27,1.34,1.6,58.0
2020,7,10,5.5814,25.98,60.12,3.91,10.69,76.0
2020,7,11,5.2049,23.31,80.88,6.64,3.62,72.24
2020,7,12,5.735,22.44,78.88,2.56,2.12,74.61
2020,7,13,7.2242,21.61,40.01,2.95,0.49,70.42
2020,7,14,7.1652,22.68,48.16,1.75,0.0,61.45
2020,7,15,7.4263,24.88,61.3,2.94,0.0,55.98
2020,7,16,3.5971,26.55,96.83,5.38,0.54,69.91
2020,7,17,7.3483,26.4,39.97,1.99,0.05,69.77
2020,7,18,7.5775,27.56,41.94,3.14,0.0,57.43
2020,7,19,4.5653,27.2,66.46,5.24,5.87,72.93
2020,7,20,6.1037,25.5,84.87,3.22,0.22,68.13
2020,7,21,5.6006,24.71,83.08,1.63,4.2,73.27
2020,7,22,4.2043,24.33,92.67,4.16,3.57,80.53
