YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2022,1,1,0.9065,3.81,99.72,4.12,25.75,87.56
2022,1,2,1.9438,-6.43,63.55,4.71,0.06,68.95
2022,1,3,3.3444,-1.37,10.24,2.0,0.0,67.94
2022,1,4,2.4991,1.16,49.37,5.22,0.01,73.22
2022,1,5,3.0094,-1.07,60.25,3.32,0.0,71.43
2022,1,6,1.9358,-6.27,98.98,4.43,0.26,69.04
2022,1,7,2.9556,-5.27,73.04,2.57,0.0,73.18
2022,1,8,0.9221,2.85,93.47,5.4,1.18,89.39
2022,1,9,2.9909,0.86,57.26,4.45,0.94,75.29
2022,1,10,3.456,0.23,1.52,2.31,0.0,55.97
2022,1,11,3.3247,2.85,9.43,3.3,0.0,63.9
2022,1,12,2.9861,4.46,69.3,3.64,0.0,79.16
2022,1,13,3.3792,5.48,31.81,3.22,0.0,80.09
2022,1,14,1.5082,5.36,99.59,2.88,0.2,90.65
2022,1,15,0.6485,0.07,98.96,4.19,19.67,95.17
2022,1,16,1.7386,-3.71,80.73,3.29,0.12,93.55
2022,1,17,3.4942,-0.69,12.72,3.11,0.71,87.27
2022,1,18,2.947,4.26,67.93,3.64,0.0,90.34
2022,1,19,0.7464,-0.02,81.5,5.23,1.15,82.18
2022,1,20,3.3756,-8.15,38.77,4.9,0.0,61.85
2022,1,21,3.8767,-8.64,22.73,1.82,0.01,72.21
2022,1,22,3.5791,-2.59,23.41,2.64,0.0,70.79
2022,1,23,3.7094,2.04,6.45,3.03,0.03,73.05
2022,1,24,3.4618,4.29,15.42,3.87,0.0,80.85
2022,1,25,3.852,-3.29,35.47,3.89,0.0,64.93
2022,1,26,2.3119,-2.04,66.88,2.16,0.01,58.6
2022,1,27,1.5245,0.19,81.46,2.83,0.09,81.93
2022,1,28,2.8781,-1.85,45.04,3.63,0.0,69.63
2022,1,29,3.9994,-0.15,8.95,3.84,0.0,70.66
2022,1,30,3.3182,2.74,26.56,2.41,0.0,69.6
2022,1,31,3.9223,5.59,4.71,3.66,0.0,77.44
2022,2,1,2.1446,10.19,88.01,3.23,6.01,93.18
2022,2,2,0.8801,-2.04,99.39,5.92,8.3,85.88
2022,2,3,1.0382,-8.07,97.02,6.38,9.2,87.92
2022,2,4,4.2749,-7.36,42.23,3.52,1.76,83.03
2022,2,5,4.2449,-3.54,12.15,2.96,0.04,84.15
2022,2,6,4.1069,-0.57,33.7,3.01,0.83,82.88
2022,2,7,4.4038,0.53,11.01,2.61,0.05,74.92
2022,2,8,4.109,4.0,18.63,4.08,0.01,73.48
2022,2,9,4.488,4.55,9.57,3.43,0.06,73.72
2022,2,10,4.3894,5.57,27.82,2.16,0.0,67.69
2022,2,11,2.7977,7.22,67.57,4.37,0.0,68.52
2022,2,12,4.447,-3.78,39.42,4.05,0.0,60.0
2022,2,13,4.6834,-0.63,22.23,3.72,0.0,61.9
2022,2,14,4.662,4.75,2.09,2.77,0.0,64.3
2022,2,15,4.4165,9.23,46.43,5.45,0.0,69.42
2022,2,16,1.9759,13.52,89.82,7.01,5.07,88.16
2022,2,17,0.9156,1.43,88.14,5.34,25.65,85.94
2022,2,18,4.9327,-2.11,1.77,2.6,0.0,62.53
2022,2,19,4.8295,2.69,0.37,2.98,0.13,76.1
2022,2,20,4.7179,7.02,22.72,5.14,2.2,77.46
2022,2,21,3.8683,12.39,64.09,5.29,0.76,90.85
2022,2,22,1.9836,2.57,99.09,5.25,19.24,76.84
2022,2,23,0.9439,-6.33,98.5,4.09,5.96,75.36
2022,2,24,0.9996,-3.43,93.98,3.02,2.73,85.61
2022,2,25,4.4916,-6.74,77.01,3.08,0.0,81.23
2022,2,26,3.8026,-1.85,72.2,1.8,0.66,82.81
2022,2,27,5.2426,0.58,7.81,2.31,0.25,73.05
2022,2,28,5.1926,4.39,36.0,3.49,0.07,71.21
2022,3,1,5.5596,8.26,3.22,3.71,0.17,67.23
2022,3,2,5.4912,11.6,1.64,3.47,0.0,63.17
2022,3,3,5.393,14.05,13.76,2.2,0.0,60.6
2022,3,4,3.8369,12.54,80.31,3.77,0.0,78.24
2022,3,5,1.4318,15.93,49.89,5.75,0.9,86.11
2022,3,6,3.1255,10.39,85.28,2.95,14.8,80.9
2022,3,7,2.9069,0.9,98.87,4.37,1.3,75.77
2022,3,8,2.994,0.89,95.96,1.76,0.0,76.91
2022,3,9,5.652,3.01,32.01,2.23,0.0,71.47
2022,3,10,5.1852,5.01,36.66,3.15,0.08,78.44
2022,3,11,1.3438,-3.07,92.77,4.7,5.47,80.57
2022,3,12,5.9947,-3.66,14.35,3.4,0.0,64.29
2022,3,13,5.868,5.37,10.79,4.89,0.0,68.84
2022,3,14,4.0378,8.69,68.72,4.2,0.03,87.08
2022,3,15,3.918,12.54,64.29,1.64,0.55,85.6
2022,3,16,6.1229,13.29,0.72,2.91,0.95,81.14
2022,3,17,6.0358,15.22,41.16,3.67,10.96,79.18
2022,3,18,1.5595,8.3,94.25,5.29,5.68,89.87
2022,3,19,6.4594,8.37,1.94,3.53,0.0,69.85
2022,3,20,6.0641,12.94,25.38,3.0,0.0,63.34
2022,3,21,1.4712,12.0,90.59,5.89,13.75,76.09
2022,3,22,2.3179,12.26,98.8,4.39,12.02,85.7
2022,3,23,1.7767,3.96,99.14,5.11,1.9,81.56
2022,3,24,1.9229,3.96,98.2,3.38,0.09,83.16
2022,3,25,5.5534,4.91,37.1,3.52,0.01,79.14
2022,3,26,5.6544,6.51,41.19,2.69,0.0,64.68
2022,3,27,5.9378,6.93,52.25,3.12,0.0,64.59
2022,3,28,6.2966,9.75,32.26,3.97,0.0,69.82
2022,3,29,4.7069,14.2,71.56,5.43,2.08,85.7
2022,3,30,0.6674,11.54,99.16,5.35,37.08,87.46
2022,3,31,3.1344,2.76,67.8,3.79,0.39,75.31
2022,4,1,6.8357,7.51,33.1,1.82,0.08,68.99
2022,4,2,6.2563,10.95,45.52,2.93,3.01,75.97
2022,4,3,5.8718,12.35,48.05,3.44,0.1,71.72
2022,4,4,2.5882,12.6,99.58,2.34,26.7,89.28
2022,4,5,5.9825,16.04,58.54,3.06,0.65,83.96
2022,4,6,6.8642,10.55,44.98,5.06,3.08,62.29
2022,4,7,5.1818,6.85,52.03,5.52,0.11,65.37
2022,4,8,2.4799,3.89,71.78,5.25,0.06,67.57
2022,4,9,7.3418,8.39,24.18,2.72,0.0,62.47
2022,4,10,6.1987,15.69,51.74,5.19,4.98,82.11
2022,4,11,1.2838,16.31,98.74,1.7,15.02,91.31
2022,4,12,3.8395,19.88,94.87,5.41,2.82,90.29
2022,4,13,2.5409,12.52,64.13,4.95,30.94,81.57
2022,4,14,7.6663,8.56,15.1,2.71,0.0,57.86
2022,4,15,4.1964,14.19,76.76,3.08,1.58,78.11
2022,4,16,3.7164,10.3,93.52,4.23,7.7,82.8
2022,4,17,1.6874,9.49,98.13,3.32,0.8,88.12
2022,4,18,7.314,7.51,33.36,3.72,1.04,70.06
2022,4,19,6.9924,9.11,36.14,2.71,0.47,62.73
2022,4,20,1.3577,13.67,98.69,5.52,9.23,88.7
2022,4,21,3.2861,19.94,77.23,2.7,6.14,88.48
2022,4,22,7.0354,20.76,17.22,4.99,0.01,79.11
2022,4,23,6.7817,20.47,55.97,6.32,0.52,77.38
2022,4,24,2.0851,17.41,97.67,4.04,19.15,88.54
2022,4,25,6.3074,11.35,92.5,3.3,10.25,73.03
2022,4,26,8.213,10.26,6.55,2.25,0.15,63.99
2022,4,27,7.4621,13.44,38.25,3.34,0.0,64.26
2022,4,28,2.6537,14.5,89.93,3.71,5.26,79.02
2022,4,29,6.3821,18.95,69.86,5.07,0.97,77.98
2022,4,30,7.0654,17.52,40.79,4.31,2.91,77.37
2022,5,1,7.831,14.96,23.76,2.41,0.0,64.91
2022,5,2,1.0234,16.58,99.67,4.07,29.28,89.65
2022,5,3,3.1152,13.14,91.16,3.36,9.47,81.67
2022,5,4,0.9439,13.63,94.07,3.31,19.52,92.08
2022,5,5,2.8498,18.04,98.93,3.4,62.06,92.42
2022,5,6,3.3067,14.53,76.07,3.81,0.8,87.55
2022,5,7,7.8962,16.36,12.1,2.46,0.0,78.92
2022,5,8,6.5825,19.08,84.35,4.93,0.0,83.19
2022,5,9,7.2058,24.03,33.17,4.95,0.0,85.86
2022,5,10,5.5217,23.97,25.54,3.86,0.0,82.52
2022,5,11,6.9725,23.96,57.07,2.41,0.0,83.47
2022,5,12,7.9171,24.02,8.61,2.57,0.01,78.99
2022,5,13,6.6641,23.1,34.73,1.81,0.19,79.46
2022,5,14,6.637,24.07,63.83,0.99,3.7,71.37
2022,5,15,2.7283,23.18,93.63,1.56,13.2,75.45
