YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2021,1,1,1.1959,-7.44,86.52,3.01,0.02,96.7
2021,1,2,1.3584,-7.4,74.75,3.07,0.01,97.31
2021,1,3,1.6315,-6.24,59.8,4.11,0.02,97.29
2021,1,4,0.4514,-5.58,96.1,4.51,0.18,96.35
2021,1,5,1.7088,-3.61,48.16,2.41,0.01,94.55
2021,1,6,1.2862,-3.45,84.11,1.52,0.07,95.66
2021,1,7,1.0318,-3.92,81.29,3.18,0.01,95.09
2021,1,8,1.3709,-3.0,75.48,3.63,0.03,92.02
2021,1,9,0.8626,-4.27,94.93,3.04,0.02,93.81
2021,1,10,0.887,-4.3,96.73,2.37,0.05,92.06
2021,1,11,0.6881,-3.56,94.87,5.45,0.02,94.0
2021,1,12,0.7519,-2.68,90.76,3.02,0.01,94.2
2021,1,13,1.728,-0.91,69.36,3.24,0.01,94.12
2021,1,14,0.5688,-0.01,95.63,4.94,2.65,97.95
2021,1,15,0.2902,0.44,99.94,5.71,7.96,97.33
2021,1,16,0.9295,-1.32,90.65,5.74,0.64,90.36
2021,1,17,0.9979,-3.93,89.02,3.22,0.06,88.48
2021,1,18,0.9394,-6.1,83.99,3.81,0.02,88.15
2021,1,19,1.4767,-10.09,82.08,4.74,0.02,85.4
2021,1,20,1.3798,-10.0,81.2,7.71,0.01,90.38
2021,1,21,1.3507,-3.75,77.27,9.01,0.03,82.82
2021,1,22,2.2159,-10.88,46.63,5.8,0.02,76.34
2021,1,23,2.057,-10.94,66.18,3.44,0.64,86.02
2021,1,24,2.2373,-7.0,48.28,4.01,5.97,94.32
2021,1,25,2.4386,-11.09,39.61,5.01,0.02,90.79
2021,1,26,1.9613,-8.66,70.16,6.36,0.06,91.18
2021,1,27,2.179,-12.78,58.76,4.69,0.0,88.61
2021,1,28,2.6218,-12.85,52.97,3.26,0.01,88.48
2021,1,29,2.52,-8.6,65.36,1.91,0.0,85.88
2021,1,30,1.6982,-3.07,99.45,6.51,1.48,86.14
2021,1,31,1.451,-3.67,96.88,5.7,1.48,90.84
2021,2,1,2.005,-4.8,73.8,3.89,0.01,90.72
2021,2,2,2.0414,-6.18,54.87,4.7,0.0,92.08
2021,2,3,2.5217,-7.37,53.48,3.28,0.0,91.07
2021,2,4,0.5146,-1.7,99.86,6.22,13.92,95.15
2021,2,5,1.5852,-13.85,67.33,9.63,0.25,87.46
2021,2,6,2.7154,-19.3,17.36,7.63,0.0,92.57
2021,2,7,3.2273,-24.98,18.69,6.15,0.0,96.47
2021,2,8,3.1661,-21.16,33.47,4.58,0.01,93.79
2021,2,9,3.3,-20.44,17.35,5.57,0.01,93.73
2021,2,10,2.5255,-21.14,32.67,4.93,0.01,94.1
2021,2,11,3.0694,-18.16,59.71,3.8,1.04,91.83
2021,2,12,3.1222,-14.91,63.96,4.66,1.7,91.39
2021,2,13,2.682,-17.94,54.1,5.38,2.38,95.66
2021,2,14,3.5357,-21.18,18.94,5.82,0.01,93.06
2021,2,15,3.5338,-19.62,45.64,5.72,0.05,93.84
2021,2,16,3.7829,-14.04,24.1,4.78,0.03,91.37
2021,2,17,3.5294,-14.15,41.69,2.32,0.0,83.99
2021,2,18,3.0485,-8.31,76.34,1.7,0.35,85.09
2021,2,19,2.8166,-9.94,71.06,3.2,0.24,92.17
2021,2,20,4.0553,-13.74,8.81,3.64,0.01,95.58
2021,2,21,2.5999,-6.18,80.78,4.44,4.85,97.2
2021,2,22,3.2491,-2.63,86.23,6.04,2.07,95.82
2021,2,23,3.9559,0.24,60.88,5.19,1.72,94.67
2021,2,24,2.9556,-2.25,69.04,4.62,3.28,94.28
2021,2,25,3.2275,-6.41,43.41,4.71,0.0,89.64
2021,2,26,3.7106,-3.23,76.51,6.32,0.01,87.73
2021,2,27,4.2674,1.07,43.19,3.9,0.01,88.06
2021,2,28,1.6366,-0.66,86.96,6.37,0.29,91.68
2021,3,1,4.6613,-9.21,27.28,6.03,0.0,77.62
2021,3,2,3.9929,-3.63,39.62,8.5,0.0,82.28
