YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2021,1,1,2.1595,1.2,49.45,2.81,0.83,72.55
2021,1,2,0.7452,3.09,72.09,6.44,10.64,93.86
2021,1,3,0.917,1.12,75.78,4.2,0.3,84.6
2021,1,4,1.1318,1.57,92.46,5.94,0.78,88.61
2021,1,5,0.8326,0.72,97.2,6.06,2.04,91.64
2021,1,6,1.559,0.92,93.91,6.43,0.05,83.4
2021,1,7,1.9834,0.31,53.32,6.53,0.02,79.46
2021,1,8,2.411,-1.16,10.19,5.4,0.0,79.51
2021,1,9,1.711,-0.92,46.36,5.64,0.13,82.09
2021,1,10,2.4223,0.03,22.62,4.87,0.0,77.94
2021,1,11,1.236,-0.26,78.49,2.47,0.0,76.48
2021,1,12,2.0438,1.03,70.89,3.23,0.01,77.43
2021,1,13,1.069,2.01,98.89,3.15,0.03,73.0
2021,1,14,0.923,1.98,98.67,2.29,1.42,87.33
2021,1,15,2.3309,2.88,64.83,4.34,0.16,82.2
2021,1,16,0.27,5.66,90.89,8.57,34.7,92.99
2021,1,17,1.4976,3.36,85.03,9.42,0.28,79.05
2021,1,18,1.6769,2.46,68.59,6.58,0.38,81.03
2021,1,19,2.1336,-0.08,57.74,4.45,0.12,71.7
2021,1,20,2.3359,0.27,50.84,5.03,0.62,76.07
2021,1,21,1.6138,-2.98,91.5,3.45,0.1,78.36
2021,1,22,2.3654,1.49,73.75,3.02,1.16,82.59
2021,1,23,2.7125,-4.09,22.57,8.01,0.08,79.26
2021,1,24,2.8987,-6.63,4.49,9.81,0.0,85.19
2021,1,25,2.8697,-3.74,17.65,6.06,0.0,81.34
2021,1,26,2.6851,-1.36,55.19,3.31,1.57,79.22
2021,1,27,1.0474,1.24,99.05,3.68,1.82,89.74
2021,1,28,1.1431,-0.9,97.77,5.96,1.84,84.77
2021,1,29,1.6745,-8.84,76.71,9.34,0.77,93.6
2021,1,30,2.6743,-8.53,48.98,6.01,0.01,90.67
2021,1,31,2.9162,-6.89,38.27,2.31,0.0,76.69
2021,2,1,1.2065,-0.34,88.09,8.29,8.28,86.02
2021,2,2,0.6554,1.32,88.32,10.52,9.13,94.18
2021,2,3,1.6802,0.86,93.16,4.88,0.35,86.86
2021,2,4,1.8677,0.52,70.25,4.62,0.05,82.8
2021,2,5,0.4898,1.65,77.75,4.02,0.99,91.35
2021,2,6,2.6227,1.29,39.42,6.64,0.02,78.54
2021,2,7,0.4778,0.55,99.7,4.88,6.77,80.85
2021,2,8,3.324,-4.13,28.21,6.19,0.0,77.55
2021,2,9,1.2319,-3.23,95.46,2.12,2.49,80.08
2021,2,10,2.7427,-3.86,52.41,5.12,0.02,83.04
2021,2,11,2.6311,-4.25,60.09,5.0,0.01,77.04
2021,2,12,2.5687,-7.64,58.48,5.43,0.0,88.37
2021,2,13,2.9335,-4.91,88.26,4.29,0.0,77.32
2021,2,14,1.1844,-0.39,98.23,2.91,0.04,78.82
2021,2,15,0.9425,-0.45,89.77,4.04,1.5,83.24
2021,2,16,1.0721,2.16,92.09,5.13,23.42,94.79
2021,2,17,3.9619,-4.64,23.85,6.88,0.0,80.49
2021,2,18,1.8048,-2.67,97.87,3.6,0.51,73.02
2021,2,19,1.4242,-0.6,97.94,5.58,5.06,88.17
2021,2,20,2.6638,-2.07,72.7,5.67,0.6,85.09
2021,2,21,4.0018,-2.97,21.73,5.5,0.04,79.68
2021,2,22,1.0438,-0.08,92.36,5.92,8.93,85.61
2021,2,23,2.6938,1.93,63.95,5.27,0.19,88.53
2021,2,24,3.0758,3.45,74.29,5.45,0.1,86.29
2021,2,25,3.8842,2.31,36.25,8.22,0.05,74.96
2021,2,26,4.3567,-0.68,31.34,4.35,0.0,64.99
2021,2,27,0.7882,3.14,65.66,6.71,9.57,90.21
2021,2,28,2.5099,3.27,89.21,3.48,0.45,85.3
2021,3,1,1.0694,3.88,84.6,6.73,5.09,89.95
2021,3,2,4.487,-7.05,31.07,11.61,0.1,74.57
2021,3,3,3.0379,0.08,59.96,5.11,0.2,79.42
2021,3,4,4.7592,-0.88,24.48,7.58,0.0,70.08
2021,3,5,2.9796,-4.12,88.86,7.92,0.06,70.74
2021,3,6,4.8173,-3.52,21.48,5.69,0.0,72.59
2021,3,7,4.8259,-2.5,16.42,4.34,0.0,71.25
2021,3,8,4.8526,-0.48,39.62,3.5,0.0,66.8
2021,3,9,3.8798,3.83,45.4,5.35,0.04,77.49
2021,3,10,4.722,3.28,40.04,3.94,0.0,80.46
2021,3,11,3.7946,6.59,74.5,5.32,0.0,91.91
2021,3,12,5.1557,8.27,18.27,5.92,0.01,71.55
2021,3,13,5.3119,1.66,17.87,7.65,0.01,63.63
2021,3,14,3.7241,0.04,47.1,7.92,0.26,66.66
2021,3,15,5.4811,-6.54,21.55,8.89,0.03,71.83
2021,3,16,4.3046,-2.18,60.66,3.63,0.0,65.29
2021,3,17,5.2476,2.91,32.97,4.09,0.0,77.59
2021,3,18,1.4657,3.79,96.78,4.43,9.32,93.07
2021,3,19,5.8421,0.11,32.98,7.7,0.09,62.99
2021,3,20,5.5702,3.72,5.05,3.26,0.0,69.31
2021,3,21,5.6822,5.46,2.69,2.73,0.0,76.14
2021,3,22,5.8582,5.07,4.95,3.56,0.01,86.1
2021,3,23,5.7955,5.94,33.22,2.24,0.24,88.91
2021,3,24,2.8649,6.05,97.03,2.23,0.27,96.12
2021,3,25,2.7398,8.13,90.33,3.1,2.53,96.27
2021,3,26,1.5787,10.56,81.13,6.2,3.24,89.67
2021,3,27,4.9481,6.57,40.79,5.11,0.0,77.44
2021,3,28,0.6043,6.43,99.28,7.27,28.23,92.72
2021,3,29,5.9815,5.26,32.79,7.8,0.07,67.94
2021,3,30,6.2153,5.51,26.01,4.09,0.0,68.35
2021,3,31,2.7626,8.9,99.15,5.64,0.6,90.45
2021,4,1,2.8716,5.69,96.49,5.88,14.36,86.17
2021,4,2,5.2397,0.37,69.44,5.13,0.03,66.74
2021,4,3,6.6617,2.64,8.22,3.04,0.0,65.15
2021,4,4,6.3115,5.95,33.24,4.49,0.03,68.41
2021,4,5,2.4869,6.52,94.57,6.72,1.96,74.61
2021,4,6,4.739,7.31,68.48,3.64,0.06,82.73
2021,4,7,3.7858,7.92,63.86,3.06,0.02,89.57
2021,4,8,6.0828,8.3,31.48,2.71,0.03,91.02
2021,4,9,6.4186,8.68,27.29,2.31,0.03,88.84
2021,4,10,5.9486,11.58,26.0,2.92,0.03,87.21
2021,4,11,3.9437,6.92,85.83,4.41,0.27,90.54
2021,4,12,3.8544,6.24,60.74,4.67,0.34,91.8
2021,4,13,4.8211,8.44,56.5,3.44,0.07,83.8
2021,4,14,5.7768,7.21,43.58,2.81,0.29,82.79
2021,4,15,4.7078,7.28,86.89,4.17,2.17,83.09
2021,4,16,1.1832,4.31,98.88,10.02,25.05,92.23
2021,4,17,3.6533,5.37,91.87,5.16,1.39,84.35
2021,4,18,4.0975,7.61,66.2,1.98,0.05,79.17
2021,4,19,5.9909,9.51,33.43,2.03,0.14,80.21
2021,4,20,4.9423,10.64,50.85,3.48,0.37,79.45
2021,4,21,4.231,8.81,79.2,5.26,6.56,85.77
2021,4,22,5.1014,3.04,85.52,8.47,0.1,66.46
2021,4,23,7.1945,7.06,32.45,7.04,0.01,67.05
2021,4,24,6.2878,10.61,41.99,4.37,0.0,69.99
2021,4,25,2.2709,8.52,89.22,2.77,2.21,85.32
2021,4,26,7.4698,6.52,19.73,7.15,0.01,68.45
2021,4,27,6.6967,8.57,48.5,4.16,0.06,67.11
2021,4,28,2.987,9.05,98.1,1.95,5.7,87.36
2021,4,29,1.3255,7.85,99.42,1.96,24.23,95.03
2021,4,30,2.3621,9.49,99.44,5.61,10.33,85.73
2021,5,1,7.5917,8.2,42.88,5.61,0.65,73.58
2021,5,2,5.5406,11.47,64.07,4.32,0.16,76.39
2021,5,3,3.197,9.69,98.59,2.68,0.62,78.1
2021,5,4,3.0564,8.59,95.44,3.17,4.08,85.07
2021,5,5,1.4102,7.78,99.5,2.45,11.33,94.45
2021,5,6,7.6901,10.19,48.55,4.4,0.11,75.25
2021,5,7,7.4429,8.7,46.83,2.86,0.0,80.23
2021,5,8,4.0334,8.75,99.91,3.8,0.21,82.43
2021,5,9,6.3144,10.8,73.7,3.95,0.04,79.0
2021,5,10,5.5855,10.87,84.24,2.11,2.04,83.96
2021,5,11,5.7566,11.01,73.58,4.72,0.49,69.07
2021,5,12,6.0142,10.74,51.74,4.03,0.04,71.97
2021,5,13,6.5251,12.73,29.6,2.36,0.01,70.91
2021,5,14,6.4512,14.29,43.75,2.59,0.01,69.59
2021,5,15,7.1609,13.99,47.44,2.77,0.0,75.17
